DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,OFSS,EQUITY,3358.0,3429.9,3222.5,3397.35,0
2015-02-28,OFSS,EQUITY,3399.0,3475.5,3235.0,3260.5,0
2015-03-31,OFSS,EQUITY,3284.75,3402.0,3175.0,3260.05,0
2015-04-30,OFSS,EQUITY,3255.0,3517.0,3136.1,3315.7,0
2015-05-31,OFSS,EQUITY,3349.0,3675.0,3280.3,3631.0,0
2015-06-30,OFSS,EQUITY,3630.0,3830.0,3430.0,3780.1,0
2015-07-31,OFSS,EQUITY,3800.0,4063.3,3777.0,4046.5,0
2015-08-31,OFSS,EQUITY,4130.0,4444.0,3900.0,4145.65,0
2015-09-30,OFSS,EQUITY,4145.65,4205.0,3641.35,3945.8,0
2015-10-31,OFSS,EQUITY,3954.6,4085.9,3827.0,3880.15,0
2015-11-30,OFSS,EQUITY,3949.0,4049.0,3802.8,3817.2,0
2015-12-31,OFSS,EQUITY,3817.0,3922.1,3685.0,3732.6,0
2016-01-31,OFSS,EQUITY,3732.0,3839.05,3445.2,3639.7,0
2016-02-29,OFSS,EQUITY,3665.0,3790.0,3100.0,3217.25,0
2016-03-31,OFSS,EQUITY,3285.0,3610.0,3251.7,3529.4,0
2016-04-30,OFSS,EQUITY,3529.0,3667.3,3421.05,3608.35,0
2016-05-31,OFSS,EQUITY,3608.35,3658.0,3319.1,3466.05,0
2016-06-30,OFSS,EQUITY,3470.1,3503.0,3325.0,3464.25,0
2016-07-31,OFSS,EQUITY,3469.0,3779.5,3417.4,3685.95,0
2016-08-31,OFSS,EQUITY,3685.95,3985.1,3440.0,3456.6,0
2016-09-30,OFSS,EQUITY,3451.9,3474.0,3179.25,3222.8,0
2016-10-31,OFSS,EQUITY,3228.0,3353.95,3168.3,3194.95,0
2016-11-30,OFSS,EQUITY,3234.0,3235.2,2808.4,3055.55,0
2016-12-31,OFSS,EQUITY,3055.55,3223.0,2984.05,3125.8,0
2017-01-31,OFSS,EQUITY,3105.0,3382.95,3100.05,3319.5,0
2017-02-28,OFSS,EQUITY,3318.9,3776.45,3280.65,3739.85,0
2017-03-31,OFSS,EQUITY,3743.3,4018.4,3585.95,3815.75,0
2017-04-30,OFSS,EQUITY,3790.0,3916.85,3509.9,3557.6,0
2017-05-31,OFSS,EQUITY,3655.1,3898.0,3476.0,3524.95,0
2017-06-30,OFSS,EQUITY,3529.9,3780.0,3516.6,3609.45,0
2017-07-31,OFSS,EQUITY,3580.05,3730.0,3537.4,3622.65,0
