DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,OIL,EQUITY,572.25,592.0,522.3,534.5,0
2015-02-28,OIL,EQUITY,536.2,553.75,468.4,502.8,0
2015-03-31,OIL,EQUITY,500.1,508.0,450.1,454.95,0
2015-04-30,OIL,EQUITY,459.4,528.0,450.65,457.8,0
2015-05-31,OIL,EQUITY,487.0,503.8,460.65,464.95,0
2015-06-30,OIL,EQUITY,470.0,487.55,445.1,446.8,0
2015-07-31,OIL,EQUITY,448.55,452.9,419.45,432.35,0
2015-08-31,OIL,EQUITY,440.05,474.9,424.4,449.45,0
2015-09-30,OIL,EQUITY,451.75,467.0,412.05,423.35,0
2015-10-31,OIL,EQUITY,440.7,467.0,398.15,405.9,0
2015-11-30,OIL,EQUITY,404.5,408.95,341.1,377.5,0
2015-12-31,OIL,EQUITY,379.9,406.65,360.0,383.0,0
2016-01-31,OIL,EQUITY,390.1,412.4,331.25,351.55,0
2016-02-29,OIL,EQUITY,353.0,353.65,305.55,309.25,0
2016-03-31,OIL,EQUITY,302.95,321.9,301.05,313.0,0
2016-04-30,OIL,EQUITY,314.4,337.0,312.0,332.05,0
2016-05-31,OIL,EQUITY,332.5,356.65,319.6,350.0,0
2016-06-30,OIL,EQUITY,350.0,363.0,344.05,352.2,0
2016-07-31,OIL,EQUITY,352.5,380.0,350.65,368.55,0
2016-08-31,OIL,EQUITY,369.0,391.8,360.0,384.5,0
2016-09-30,OIL,EQUITY,383.7,411.0,382.9,400.1,0
2016-10-31,OIL,EQUITY,403.1,421.5,402.35,416.0,0
2016-11-30,OIL,EQUITY,417.0,446.0,397.1,419.35,0
2016-12-31,OIL,EQUITY,426.5,453.5,423.15,452.1,0
2017-01-31,OIL,EQUITY,452.7,495.0,326.0,329.65,0
2017-02-28,OIL,EQUITY,332.0,350.7,320.2,327.1,0
2017-03-31,OIL,EQUITY,330.6,340.7,324.3,333.8,0
2017-04-30,OIL,EQUITY,330.8,339.8,321.9,327.15,0
2017-05-31,OIL,EQUITY,331.0,333.4,297.25,306.8,0
2017-06-30,OIL,EQUITY,307.9,308.5,257.1,259.6,0
2017-07-31,OIL,EQUITY,260.0,295.7,257.6,287.5,0
2017-08-31,OIL,EQUITY,286.0,298.4,270.5,285.15,0
2017-09-30,OIL,EQUITY,287.95,356.1,286.3,353.65,0
2017-10-31,OIL,EQUITY,353.0,379.3,333.75,369.05,0
2017-11-30,OIL,EQUITY,374.9,382.75,347.1,361.95,0
2017-12-31,OIL,EQUITY,361.6,377.65,345.1,371.5,0
2018-01-31,OIL,EQUITY,374.0,388.95,357.45,358.95,0
2018-02-28,OIL,EQUITY,359.9,366.75,332.55,349.85,0
2018-03-31,OIL,EQUITY,349.45,353.0,213.0,216.35,0
2018-04-30,OIL,EQUITY,223.9,240.9,213.0,232.45,0
2018-05-31,OIL,EQUITY,233.6,247.5,203.95,215.85,0
2018-06-30,OIL,EQUITY,217.0,228.5,199.2,209.85,0
2018-07-31,OIL,EQUITY,210.25,214.6,203.25,209.05,0
2018-08-31,OIL,EQUITY,210.6,219.0,203.5,213.6,0
2018-09-30,OIL,EQUITY,215.0,227.0,201.8,219.55,0
2018-10-31,OIL,EQUITY,223.8,223.8,181.0,197.6,0
2018-11-30,OIL,EQUITY,198.0,207.25,185.35,186.25,0
2018-12-31,OIL,EQUITY,186.25,189.9,168.55,174.8,0
2019-01-31,OIL,EQUITY,175.0,177.65,165.1,167.65,0
2019-02-28,OIL,EQUITY,168.0,181.0,167.65,174.6,0
2019-03-31,OIL,EQUITY,175.1,187.8,171.5,185.45,0
2019-04-30,OIL,EQUITY,185.4,186.25,174.05,180.85,0
2019-05-31,OIL,EQUITY,182.6,189.7,172.0,180.0,0
2019-06-30,OIL,EQUITY,179.65,183.8,171.35,178.0,0
2019-07-31,OIL,EQUITY,178.05,179.9,151.5,159.5,0
2019-08-31,OIL,EQUITY,157.7,160.45,139.65,147.95,0
2019-09-30,OIL,EQUITY,142.9,157.4,141.8,145.25,0
2019-10-31,OIL,EQUITY,144.5,174.95,142.0,171.65,0
2019-11-30,OIL,EQUITY,172.5,173.65,150.05,154.05,0
2019-12-31,OIL,EQUITY,154.05,159.95,148.4,153.05,0
2020-01-31,OIL,EQUITY,153.3,159.8,127.9,129.55,0
2020-02-29,OIL,EQUITY,124.0,139.0,105.5,108.0,0
2020-03-31,OIL,EQUITY,110.9,111.45,63.5,82.65,0
2020-04-30,OIL,EQUITY,82.25,100.5,74.25,98.8,0
2020-05-31,OIL,EQUITY,96.9,99.45,69.0,84.75,0
2020-06-30,OIL,EQUITY,86.0,107.4,83.2,93.65,0
2020-07-31,OIL,EQUITY,93.7,102.0,92.7,96.65,0
2020-08-31,OIL,EQUITY,96.7,102.9,93.8,94.75,0
2020-09-30,OIL,EQUITY,95.3,97.95,83.5,89.3,0
2020-10-31,OIL,EQUITY,87.65,95.0,84.0,85.95,0
2020-11-30,OIL,EQUITY,86.0,98.25,83.5,96.15,0
2020-12-31,OIL,EQUITY,100.0,119.1,98.05,107.4,0
2021-01-31,OIL,EQUITY,109.0,119.4,107.8,111.35,0
2021-02-28,OIL,EQUITY,112.7,129.55,112.1,126.3,0
2021-03-31,OIL,EQUITY,127.8,133.8,115.2,122.8,0
2021-04-30,OIL,EQUITY,122.8,124.95,112.7,122.1,0
2021-05-31,OIL,EQUITY,121.5,137.15,119.75,132.5,0
2021-06-30,OIL,EQUITY,133.0,164.0,133.0,157.2,0
2021-07-31,OIL,EQUITY,157.4,177.4,153.1,166.85,0
2021-08-31,OIL,EQUITY,168.9,187.0,157.3,182.0,0
2021-09-30,OIL,EQUITY,178.45,266.7,175.1,260.2,0
2021-10-31,OIL,EQUITY,244.4,255.95,207.7,225.05,0
2021-11-30,OIL,EQUITY,219.0,227.9,190.0,211.65,0
2021-12-31,OIL,EQUITY,213.0,220.55,169.6,198.9,0
2022-01-31,OIL,EQUITY,199.0,240.7,191.4,239.65,0
2022-02-28,OIL,EQUITY,234.0,241.6,215.4,222.95,0
2022-03-31,OIL,EQUITY,232.4,262.9,217.1,238.4,0
2022-04-30,OIL,EQUITY,238.5,251.0,227.1,228.45,0
2022-05-31,OIL,EQUITY,221.0,248.0,215.55,238.45,0
2022-06-30,OIL,EQUITY,240.4,306.0,218.5,251.5,0
2022-07-31,OIL,EQUITY,245.5,249.45,172.05,190.0,0
2022-08-31,OIL,EQUITY,189.85,201.0,184.05,192.8,0
2022-09-30,OIL,EQUITY,192.05,197.45,167.85,174.45,0
2022-10-31,OIL,EQUITY,181.8,196.0,178.1,193.0,0
2022-11-30,OIL,EQUITY,192.05,212.0,191.75,204.65,0
2022-12-31,OIL,EQUITY,207.1,218.6,196.5,208.2,0
2023-01-31,OIL,EQUITY,209.25,242.7,208.05,232.95,0
2023-02-28,OIL,EQUITY,234.9,264.8,210.2,247.05,0
2023-03-31,OIL,EQUITY,247.0,271.55,240.0,251.65,0
2023-04-30,OIL,EQUITY,265.0,270.0,250.4,254.85,0
2023-05-31,OIL,EQUITY,256.0,274.05,252.55,257.25,0
2023-06-30,OIL,EQUITY,256.45,258.2,240.8,244.95,0
2023-07-31,OIL,EQUITY,250.0,276.9,249.25,275.7,0
2023-08-31,OIL,EQUITY,274.0,296.95,261.55,273.1,0
2023-09-30,OIL,EQUITY,273.1,305.45,271.8,298.85,0
2023-10-31,OIL,EQUITY,295.0,339.4,289.4,298.85,0
2023-11-30,OIL,EQUITY,299.0,328.3,293.2,305.2,0
2023-12-31,OIL,EQUITY,308.0,406.4,305.5,372.15,0
2024-01-31,OIL,EQUITY,373.5,443.35,371.35,426.5,0
2024-02-29,OIL,EQUITY,427.9,630.0,423.05,546.55,0
2024-03-31,OIL,EQUITY,554.35,647.0,513.0,600.25,0
2024-04-30,OIL,EQUITY,606.3,669.5,582.5,620.15,0
2024-05-31,OIL,EQUITY,624.2,675.0,487.2,635.7,0
2024-06-30,OIL,EQUITY,689.85,743.6,555.45,723.05,0
2024-07-31,OIL,EQUITY,481.0,644.5,479.35,577.55,0
2024-08-31,OIL,EQUITY,492.9,767.9,490.05,741.0,0
2024-09-30,OIL,EQUITY,626.1,640.0,466.05,580.65,0
2024-10-31,OIL,EQUITY,512.8,645.0,462.55,471.75,0
2024-11-30,OIL,EQUITY,514.7,583.45,464.0,490.6,0
2024-12-31,OIL,EQUITY,584.0,587.9,414.0,430.75,0
2025-01-31,OIL,EQUITY,434.0,489.9,388.8,420.45,0
2025-02-28,OIL,EQUITY,386.2,437.0,340.95,342.7,0
2025-03-31,OIL,EQUITY,345.1,454.25,339.05,386.75,0
2025-04-30,OIL,EQUITY,401.4,454.35,328.15,410.75,0
2025-05-31,OIL,EQUITY,407.0,448.25,388.7,426.8,0
2025-06-30,OIL,EQUITY,436.5,491.5,365.3,434.25,0
2025-07-31,OIL,EQUITY,460.0,478.65,325.0,440.0,0
2025-08-31,OIL,EQUITY,475.3,494.55,342.15,390.3,0
2025-09-30,OIL,EQUITY,490.0,490.0,336.4,413.8,0
2025-10-31,OIL,EQUITY,470.0,471.65,359.25,433.35,0
2025-11-30,OIL,EQUITY,360.0,468.0,351.0,413.2,0
2025-12-31,OIL,EQUITY,412.5,449.5,361.75,424.35,0
2026-01-31,OIL,EQUITY,424.25,520.0,406.35,510.05,0
2026-02-28,OIL,EQUITY,476.0,490.75,463.25,483.9,0
2026-03-31,OIL,EQUITY,503.0,506.25,454.4,478.0,0
