DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,ONGC,EQUITY,340.25,356.9,328.1,351.35,0
2015-02-28,ONGC,EQUITY,355.0,361.25,312.65,324.75,0
2015-03-31,ONGC,EQUITY,328.8,329.6,298.8,306.35,0
2015-04-30,ONGC,EQUITY,308.1,332.9,303.1,304.0,0
2015-05-31,ONGC,EQUITY,331.0,343.2,308.5,329.85,0
2015-06-30,ONGC,EQUITY,329.0,329.9,297.3,309.6,0
2015-07-31,ONGC,EQUITY,309.0,317.1,263.45,272.7,0
2015-08-31,ONGC,EQUITY,273.75,284.7,223.0,239.3,0
2015-09-30,ONGC,EQUITY,242.8,243.35,217.7,229.35,0
2015-10-31,ONGC,EQUITY,241.0,267.75,239.6,246.95,0
2015-11-30,ONGC,EQUITY,246.95,256.6,221.25,234.15,0
2015-12-31,ONGC,EQUITY,234.55,243.8,211.25,241.75,0
2016-01-31,ONGC,EQUITY,239.9,244.8,205.95,226.25,0
2016-02-29,ONGC,EQUITY,222.2,224.4,187.75,194.1,0
2016-03-31,ONGC,EQUITY,194.4,219.15,192.1,214.1,0
2016-04-30,ONGC,EQUITY,214.5,225.4,204.05,217.25,0
2016-05-31,ONGC,EQUITY,218.0,221.15,200.0,210.75,0
2016-06-30,ONGC,EQUITY,211.4,222.7,207.0,216.3,0
2016-07-31,ONGC,EQUITY,216.9,241.55,216.45,220.1,0
2016-08-31,ONGC,EQUITY,222.3,243.9,217.6,236.3,0
2016-09-30,ONGC,EQUITY,237.0,263.35,235.15,256.65,0
2016-10-31,ONGC,EQUITY,257.0,297.4,252.4,286.9,0
2016-11-30,ONGC,EQUITY,290.3,291.2,265.0,288.9,0
2016-12-31,ONGC,EQUITY,295.0,314.6,187.7,191.35,0
2017-01-31,ONGC,EQUITY,191.8,211.8,191.15,202.55,0
2017-02-28,ONGC,EQUITY,203.0,205.0,190.8,193.55,0
2017-03-31,ONGC,EQUITY,196.7,197.2,183.0,185.0,0
2017-04-30,ONGC,EQUITY,186.35,188.7,178.3,186.55,0
2017-05-31,ONGC,EQUITY,192.0,192.45,171.2,177.0,0
2017-06-30,ONGC,EQUITY,176.9,176.9,155.2,157.3,0
2017-07-31,ONGC,EQUITY,157.4,170.0,155.9,169.4,0
2017-08-31,ONGC,EQUITY,167.5,167.5,156.05,156.95,0
2017-09-30,ONGC,EQUITY,158.0,174.35,157.3,170.95,0
