DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-11-30,PATANJALI,EQUITY,1400.0,1479.8,1313.0,1400.2,0
2023-12-31,PATANJALI,EQUITY,1409.85,1665.0,1372.0,1575.0,0
2024-01-31,PATANJALI,EQUITY,1574.0,1662.95,1522.0,1582.1,0
2024-02-29,PATANJALI,EQUITY,1582.05,1699.7,1510.0,1537.7,0
2024-03-31,PATANJALI,EQUITY,1545.5,1641.0,1281.0,1338.4,0
2024-04-30,PATANJALI,EQUITY,1360.0,1609.0,1293.85,1510.7,0
2024-05-31,PATANJALI,EQUITY,1496.05,1658.95,1316.6,1430.1,0
2024-06-30,PATANJALI,EQUITY,1460.0,1605.0,1232.05,1591.4,0
2024-07-31,PATANJALI,EQUITY,1749.65,1912.0,1541.05,1720.1,0
2024-08-31,PATANJALI,EQUITY,1654.7,1957.0,1622.0,1942.15,0
2024-09-30,PATANJALI,EQUITY,1915.35,1932.0,1664.0,1683.45,0
2024-10-31,PATANJALI,EQUITY,1642.0,1946.0,1629.0,1793.25,0
2024-11-30,PATANJALI,EQUITY,1639.4,1887.95,1620.0,1810.3,0
2024-12-31,PATANJALI,EQUITY,1916.2,1934.0,1698.35,1781.95,0
2025-01-31,PATANJALI,EQUITY,1760.6,1906.0,567.8,1824.6,0
2025-02-28,PATANJALI,EQUITY,1795.0,1913.8,561.9,1760.55,0
2025-03-31,PATANJALI,EQUITY,1741.0,1885.0,551.8,1808.4,0
2025-04-30,PATANJALI,EQUITY,1812.45,2011.0,572.05,1906.0,0
2025-05-31,PATANJALI,EQUITY,1810.0,1886.0,522.65,1671.3,0
2025-06-30,PATANJALI,EQUITY,1799.95,1882.8,567.25,1650.6,0
2025-07-31,PATANJALI,EQUITY,1852.15,1961.8,565.8,1873.7,0
2025-08-31,PATANJALI,EQUITY,1880.85,1884.0,542.0,1777.6,0
2025-09-30,PATANJALI,EQUITY,1844.95,1871.5,536.15,575.8,0
2025-10-31,PATANJALI,EQUITY,1868.95,1868.95,576.95,602.4,0
2025-11-30,PATANJALI,EQUITY,1740.0,1904.9,526.45,568.15,0
2025-12-31,PATANJALI,EQUITY,1819.45,1838.9,528.0,545.5,0
2026-01-31,PATANJALI,EQUITY,549.1,582.35,492.65,500.4,0
2026-02-28,PATANJALI,EQUITY,530.0,532.8,502.65,508.0,0
2026-03-31,PATANJALI,EQUITY,500.0,508.85,460.4,476.45,0
