DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,PETRONET,EQUITY,208.45,219.55,176.65,179.85,0
2015-02-28,PETRONET,EQUITY,180.25,192.55,174.0,183.7,0
2015-03-31,PETRONET,EQUITY,181.95,196.7,170.6,171.55,0
2015-04-30,PETRONET,EQUITY,176.0,190.65,159.5,174.65,0
2015-05-31,PETRONET,EQUITY,175.8,188.25,168.0,181.85,0
2015-06-30,PETRONET,EQUITY,181.5,192.0,173.0,187.0,0
2015-07-31,PETRONET,EQUITY,185.3,203.0,183.05,193.3,0
2015-08-31,PETRONET,EQUITY,193.6,195.55,163.55,177.45,0
2015-09-30,PETRONET,EQUITY,177.0,182.95,170.2,179.15,0
2015-10-31,PETRONET,EQUITY,179.75,197.5,177.8,194.1,0
2015-11-30,PETRONET,EQUITY,191.05,237.9,191.05,234.25,0
2015-12-31,PETRONET,EQUITY,235.15,257.6,234.65,255.95,0
2016-01-31,PETRONET,EQUITY,256.75,272.7,239.75,245.6,0
2016-02-29,PETRONET,EQUITY,258.0,266.35,229.75,235.1,0
2016-03-31,PETRONET,EQUITY,249.9,263.85,240.2,250.75,0
2016-04-30,PETRONET,EQUITY,250.0,274.9,237.0,263.55,0
2016-05-31,PETRONET,EQUITY,264.85,284.8,250.0,273.55,0
2016-06-30,PETRONET,EQUITY,274.0,296.0,265.5,294.2,0
2016-07-31,PETRONET,EQUITY,297.1,303.0,282.5,298.0,0
2016-08-31,PETRONET,EQUITY,301.0,354.65,298.05,351.85,0
2016-09-30,PETRONET,EQUITY,351.05,366.35,325.05,345.4,0
2016-10-31,PETRONET,EQUITY,345.45,410.9,345.45,388.8,0
2016-11-30,PETRONET,EQUITY,392.4,394.4,332.55,388.7,0
2016-12-31,PETRONET,EQUITY,393.0,396.5,342.65,367.45,0
2017-01-31,PETRONET,EQUITY,369.9,396.45,351.6,373.95,0
2017-02-28,PETRONET,EQUITY,376.3,417.0,370.25,406.6,0
2017-03-31,PETRONET,EQUITY,408.8,414.8,377.05,403.15,0
2017-04-30,PETRONET,EQUITY,415.5,454.5,404.2,423.75,0
2017-05-31,PETRONET,EQUITY,429.0,459.0,423.15,439.9,0
2017-06-30,PETRONET,EQUITY,441.0,454.9,425.4,432.05,0
2017-07-31,PETRONET,EQUITY,214.95,223.45,198.6,203.95,0
2017-08-31,PETRONET,EQUITY,210.25,236.4,205.85,227.2,0
2017-09-30,PETRONET,EQUITY,225.35,241.7,220.65,231.2,0
2017-10-31,PETRONET,EQUITY,232.9,275.05,232.0,259.85,0
2017-11-30,PETRONET,EQUITY,262.0,275.65,247.15,251.6,0
2017-12-31,PETRONET,EQUITY,251.9,257.5,239.2,254.75,0
2018-01-31,PETRONET,EQUITY,254.0,259.45,231.75,254.75,0
2018-02-28,PETRONET,EQUITY,252.5,255.45,236.1,247.3,0
2018-03-31,PETRONET,EQUITY,245.5,246.75,223.6,230.95,0
2018-04-30,PETRONET,EQUITY,232.8,245.35,219.7,226.8,0
2018-05-31,PETRONET,EQUITY,227.65,228.0,202.05,219.65,0
2018-06-30,PETRONET,EQUITY,219.05,228.9,203.65,219.2,0
2018-07-31,PETRONET,EQUITY,219.2,236.0,205.65,229.15,0
2018-08-31,PETRONET,EQUITY,230.6,249.45,216.0,248.05,0
2018-09-30,PETRONET,EQUITY,248.1,249.8,217.5,224.75,0
2018-10-31,PETRONET,EQUITY,224.75,227.0,205.0,225.7,0
2018-11-30,PETRONET,EQUITY,226.1,228.95,210.0,214.2,0
2018-12-31,PETRONET,EQUITY,213.75,229.0,203.4,224.15,0
2019-01-31,PETRONET,EQUITY,224.9,231.4,210.8,227.65,0
2019-02-28,PETRONET,EQUITY,229.3,229.55,208.05,223.6,0
2019-03-31,PETRONET,EQUITY,224.1,253.0,222.5,251.55,0
2019-04-30,PETRONET,EQUITY,253.8,254.9,232.2,241.15,0
2019-05-31,PETRONET,EQUITY,241.15,250.75,219.2,247.05,0
2019-06-30,PETRONET,EQUITY,249.0,249.9,226.8,245.1,0
2019-07-31,PETRONET,EQUITY,247.05,254.5,229.55,236.45,0
2019-08-31,PETRONET,EQUITY,235.9,267.8,228.35,266.85,0
2019-09-30,PETRONET,EQUITY,264.3,299.0,246.7,259.9,0
2019-10-31,PETRONET,EQUITY,261.0,297.75,253.4,286.4,0
2019-11-30,PETRONET,EQUITY,286.8,289.0,262.25,271.5,0
2019-12-31,PETRONET,EQUITY,273.7,283.25,266.8,267.95,0
2020-01-31,PETRONET,EQUITY,268.5,280.2,264.7,266.5,0
2020-02-29,PETRONET,EQUITY,263.85,276.0,243.05,245.6,0
2020-03-31,PETRONET,EQUITY,248.05,253.35,170.4,199.7,0
2020-04-30,PETRONET,EQUITY,201.0,245.0,194.2,243.0,0
2020-05-31,PETRONET,EQUITY,232.75,261.0,217.5,252.55,0
2020-06-30,PETRONET,EQUITY,255.5,269.05,241.15,258.05,0
2020-07-31,PETRONET,EQUITY,260.05,280.75,230.05,247.85,0
2020-08-31,PETRONET,EQUITY,250.85,267.8,237.6,240.35,0
2020-09-30,PETRONET,EQUITY,241.9,245.8,209.6,220.65,0
2020-10-31,PETRONET,EQUITY,221.3,238.5,207.25,230.95,0
2020-11-30,PETRONET,EQUITY,231.5,263.3,222.35,251.25,0
2020-12-31,PETRONET,EQUITY,255.0,271.9,232.1,247.6,0
2021-01-31,PETRONET,EQUITY,248.85,275.35,234.15,237.0,0
2021-02-28,PETRONET,EQUITY,243.05,260.95,238.55,255.15,0
2021-03-31,PETRONET,EQUITY,254.0,260.5,220.0,224.65,0
2021-04-30,PETRONET,EQUITY,226.8,243.65,214.5,239.95,0
2021-05-31,PETRONET,EQUITY,236.0,248.0,234.0,241.45,0
2021-06-30,PETRONET,EQUITY,244.5,252.2,223.1,225.8,0
2021-07-31,PETRONET,EQUITY,224.1,226.45,214.5,218.25,0
2021-08-31,PETRONET,EQUITY,220.85,231.0,211.4,227.6,0
2021-09-30,PETRONET,EQUITY,226.9,242.9,226.55,238.55,0
2021-10-31,PETRONET,EQUITY,235.75,243.55,227.0,229.55,0
2021-11-30,PETRONET,EQUITY,229.9,239.3,215.2,219.85,0
2021-12-31,PETRONET,EQUITY,220.5,230.3,209.65,216.4,0
2022-01-31,PETRONET,EQUITY,219.9,227.25,206.5,213.75,0
2022-02-28,PETRONET,EQUITY,215.25,224.9,190.25,215.3,0
2022-03-31,PETRONET,EQUITY,215.0,222.5,191.3,193.75,0
2022-04-30,PETRONET,EQUITY,194.0,211.2,194.0,203.9,0
2022-05-31,PETRONET,EQUITY,208.25,231.0,203.15,226.9,0
2022-06-30,PETRONET,EQUITY,228.0,232.0,195.4,217.3,0
2022-07-31,PETRONET,EQUITY,215.3,230.0,213.55,219.95,0
2022-08-31,PETRONET,EQUITY,225.3,227.9,208.25,221.1,0
2022-09-30,PETRONET,EQUITY,220.0,221.5,197.05,199.9,0
2022-10-31,PETRONET,EQUITY,200.9,210.55,195.7,205.55,0
2022-11-30,PETRONET,EQUITY,206.6,218.8,205.05,212.65,0
2022-12-31,PETRONET,EQUITY,213.5,220.0,206.15,215.45,0
2023-01-31,PETRONET,EQUITY,214.95,230.95,212.75,217.25,0
2023-02-28,PETRONET,EQUITY,218.55,225.4,207.0,222.55,0
2023-03-31,PETRONET,EQUITY,222.95,239.8,219.55,228.85,0
2023-04-30,PETRONET,EQUITY,232.2,238.8,226.5,236.9,0
2023-05-31,PETRONET,EQUITY,230.0,232.85,222.15,225.85,0
2023-06-30,PETRONET,EQUITY,226.4,231.0,216.65,222.7,0
2023-07-31,PETRONET,EQUITY,225.25,234.75,222.6,233.55,0
2023-08-31,PETRONET,EQUITY,232.85,233.75,215.0,215.3,0
2023-09-30,PETRONET,EQUITY,216.0,254.4,214.7,239.95,0
2023-10-31,PETRONET,EQUITY,240.5,241.75,195.1,199.6,0
2023-11-30,PETRONET,EQUITY,201.0,204.2,191.7,202.8,0
2023-12-31,PETRONET,EQUITY,205.0,225.4,200.75,222.65,0
2024-01-31,PETRONET,EQUITY,223.0,284.55,222.5,269.1,0
2024-02-29,PETRONET,EQUITY,270.0,291.95,255.75,273.45,0
2024-03-31,PETRONET,EQUITY,273.45,294.0,256.3,263.2,0
2024-04-30,PETRONET,EQUITY,263.55,318.75,262.2,310.55,0
2024-05-31,PETRONET,EQUITY,310.5,338.9,291.4,297.35,0
2024-06-30,PETRONET,EQUITY,309.3,334.05,271.75,330.25,0
2024-07-31,PETRONET,EQUITY,334.0,377.95,329.9,368.5,0
2024-08-31,PETRONET,EQUITY,337.05,384.2,333.1,367.3,0
2024-09-30,PETRONET,EQUITY,348.2,356.3,319.8,341.55,0
2024-10-31,PETRONET,EQUITY,334.6,361.4,321.2,333.0,0
2024-11-30,PETRONET,EQUITY,333.85,343.0,308.85,333.1,0
2024-12-31,PETRONET,EQUITY,338.1,349.5,320.85,346.2,0
2025-01-31,PETRONET,EQUITY,346.95,349.35,269.7,316.2,0
2025-02-28,PETRONET,EQUITY,297.8,320.25,270.05,283.3,0
2025-03-31,PETRONET,EQUITY,281.2,309.25,268.0,293.6,0
2025-04-30,PETRONET,EQUITY,307.4,319.0,269.8,313.75,0
2025-05-31,PETRONET,EQUITY,309.5,326.5,271.6,307.3,0
2025-06-30,PETRONET,EQUITY,319.0,319.4,274.0,301.9,0
2025-07-31,PETRONET,EQUITY,327.9,333.25,269.6,288.2,0
2025-08-31,PETRONET,EQUITY,331.9,337.3,267.9,269.5,0
2025-09-30,PETRONET,EQUITY,332.0,335.45,266.1,278.8,0
2025-10-31,PETRONET,EQUITY,326.8,328.95,273.4,281.25,0
2025-11-30,PETRONET,EQUITY,275.05,313.1,267.2,271.85,0
2025-12-31,PETRONET,EQUITY,302.0,316.5,263.5,284.1,0
2026-01-31,PETRONET,EQUITY,284.9,299.8,269.9,289.75,0
2026-02-28,PETRONET,EQUITY,306.45,326.4,302.7,323.4,0
2026-03-31,PETRONET,EQUITY,315.0,321.0,235.35,246.2,0
