DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2021-09-30,POONAWALLA,EQUITY,183.7,189.2,159.15,162.9,0
2021-10-31,POONAWALLA,EQUITY,167.5,172.85,140.75,165.8,0
2021-11-30,POONAWALLA,EQUITY,168.0,211.85,164.1,181.3,0
2021-12-31,POONAWALLA,EQUITY,182.4,230.7,180.5,219.25,0
2022-01-31,POONAWALLA,EQUITY,222.2,302.9,219.0,283.75,0
2022-02-28,POONAWALLA,EQUITY,281.9,288.5,216.2,237.2,0
2022-03-31,POONAWALLA,EQUITY,231.3,278.0,216.6,271.85,0
2022-04-30,POONAWALLA,EQUITY,271.0,343.8,269.25,306.45,0
2022-05-31,POONAWALLA,EQUITY,295.0,296.6,212.25,259.45,0
2022-06-30,POONAWALLA,EQUITY,261.45,267.0,209.15,227.7,0
2022-07-31,POONAWALLA,EQUITY,227.5,280.2,224.1,266.8,0
2022-08-31,POONAWALLA,EQUITY,284.6,314.25,263.3,306.85,0
2022-09-30,POONAWALLA,EQUITY,308.75,333.7,281.05,305.8,0
2022-10-31,POONAWALLA,EQUITY,308.55,338.0,302.15,314.4,0
2022-11-30,POONAWALLA,EQUITY,316.0,322.45,304.0,311.05,0
2022-12-31,POONAWALLA,EQUITY,312.2,314.5,243.0,308.3,0
2023-01-31,POONAWALLA,EQUITY,307.0,310.4,281.7,297.4,0
2023-02-28,POONAWALLA,EQUITY,299.4,323.3,281.15,289.1,0
2023-03-31,POONAWALLA,EQUITY,290.2,302.8,274.65,292.5,0
2023-04-30,POONAWALLA,EQUITY,297.5,327.7,285.25,323.15,0
2023-05-31,POONAWALLA,EQUITY,325.7,354.6,318.55,345.75,0
2023-06-30,POONAWALLA,EQUITY,346.05,366.15,332.1,340.9,0
2023-07-31,POONAWALLA,EQUITY,369.95,393.6,355.5,391.8,0
2023-08-31,POONAWALLA,EQUITY,394.9,451.5,383.0,416.85,0
2023-09-30,POONAWALLA,EQUITY,417.0,417.0,367.9,380.3,0
2023-10-31,POONAWALLA,EQUITY,379.0,386.0,343.0,352.8,0
2023-11-30,POONAWALLA,EQUITY,354.0,411.75,349.55,409.3,0
2023-12-31,POONAWALLA,EQUITY,412.0,452.35,401.7,435.55,0
2024-01-31,POONAWALLA,EQUITY,440.0,519.7,429.1,478.3,0
2024-02-29,POONAWALLA,EQUITY,480.5,499.85,447.75,467.0,0
2024-03-31,POONAWALLA,EQUITY,469.8,489.0,431.2,465.6,0
2024-04-30,POONAWALLA,EQUITY,470.0,514.0,468.25,490.65,0
2024-05-31,POONAWALLA,EQUITY,494.9,496.0,417.3,449.1,0
2024-06-30,POONAWALLA,EQUITY,469.0,469.0,401.0,409.1,0
2024-07-31,POONAWALLA,EQUITY,422.0,434.5,343.3,369.05,0
2024-08-31,POONAWALLA,EQUITY,434.0,436.95,349.6,387.3,0
2024-09-30,POONAWALLA,EQUITY,385.0,409.0,341.6,394.45,0
2024-10-31,POONAWALLA,EQUITY,418.0,420.4,270.05,374.5,0
2024-11-30,POONAWALLA,EQUITY,407.9,411.0,340.05,354.45,0
2024-12-31,POONAWALLA,EQUITY,396.0,404.0,311.75,314.35,0
2025-01-31,POONAWALLA,EQUITY,314.9,506.0,300.15,310.4,0
2025-02-28,POONAWALLA,EQUITY,349.05,485.65,270.0,281.3,0
2025-03-31,POONAWALLA,EQUITY,280.95,528.8,268.1,350.45,0
2025-04-30,POONAWALLA,EQUITY,309.9,487.8,267.2,375.25,0
2025-05-31,POONAWALLA,EQUITY,315.0,473.1,313.0,403.75,0
2025-06-30,POONAWALLA,EQUITY,317.2,570.4,284.7,466.05,0
2025-07-31,POONAWALLA,EQUITY,314.0,545.0,285.05,422.25,0
2025-08-31,POONAWALLA,EQUITY,316.0,474.25,315.95,431.55,0
2025-09-30,POONAWALLA,EQUITY,320.5,533.9,312.6,497.6,0
2025-10-31,POONAWALLA,EQUITY,313.45,544.8,287.5,481.85,0
2025-11-30,POONAWALLA,EQUITY,288.0,494.4,280.8,480.3,0
2025-12-31,POONAWALLA,EQUITY,300.0,491.0,277.6,482.95,0
2026-01-31,POONAWALLA,EQUITY,485.85,497.4,390.25,399.0,0
2026-02-28,POONAWALLA,EQUITY,471.0,475.55,450.0,454.8,0
2026-03-31,POONAWALLA,EQUITY,440.0,452.7,369.2,384.55,0
