DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2022-11-30,PPLPHARMA,EQUITY,166.9,178.95,125.2,134.3,0
2022-12-31,PPLPHARMA,EQUITY,135.0,145.8,113.05,114.65,0
2023-01-31,PPLPHARMA,EQUITY,115.45,126.6,101.4,104.95,0
2023-02-28,PPLPHARMA,EQUITY,105.7,105.8,78.3,78.8,0
2023-03-31,PPLPHARMA,EQUITY,78.9,81.3,63.1,68.45,0
2023-04-30,PPLPHARMA,EQUITY,72.75,79.25,69.05,70.8,0
2023-05-31,PPLPHARMA,EQUITY,71.45,85.0,71.0,81.35,0
2023-06-30,PPLPHARMA,EQUITY,81.9,97.75,80.7,92.45,0
2023-07-31,PPLPHARMA,EQUITY,92.9,110.0,91.2,104.4,0
2023-08-31,PPLPHARMA,EQUITY,103.5,108.2,95.05,102.5,0
2023-09-30,PPLPHARMA,EQUITY,102.85,108.75,94.8,102.05,0
2023-10-31,PPLPHARMA,EQUITY,102.2,109.4,87.5,104.5,0
2023-11-30,PPLPHARMA,EQUITY,103.0,127.55,95.3,126.6,0
2023-12-31,PPLPHARMA,EQUITY,126.45,142.5,120.6,138.85,0
2024-01-31,PPLPHARMA,EQUITY,138.9,149.0,133.25,144.25,0
2024-02-29,PPLPHARMA,EQUITY,144.8,144.8,129.15,131.9,0
2024-03-31,PPLPHARMA,EQUITY,132.45,135.2,114.35,128.9,0
2024-04-30,PPLPHARMA,EQUITY,132.95,147.4,129.1,143.65,0
2024-05-31,PPLPHARMA,EQUITY,143.65,166.7,141.35,148.05,0
2024-06-30,PPLPHARMA,EQUITY,151.1,162.5,140.5,157.24,0
2024-07-31,PPLPHARMA,EQUITY,158.98,303.15,145.25,176.05,0
2024-08-31,PPLPHARMA,EQUITY,158.0,193.5,153.52,188.98,0
2024-09-30,PPLPHARMA,EQUITY,225.0,267.8,214.75,229.01,0
2024-10-31,PPLPHARMA,EQUITY,156.35,274.74,149.82,268.47,0
2024-11-30,PPLPHARMA,EQUITY,152.98,282.4,151.2,268.75,0
2024-12-31,PPLPHARMA,EQUITY,238.1,273.35,230.5,266.25,0
2025-01-31,PPLPHARMA,EQUITY,265.0,267.65,182.0,232.9,0
2025-02-28,PPLPHARMA,EQUITY,226.1,229.4,181.73,189.89,0
2025-03-31,PPLPHARMA,EQUITY,190.0,240.95,181.29,224.75,0
2025-04-30,PPLPHARMA,EQUITY,233.0,235.0,187.31,211.05,0
2025-05-31,PPLPHARMA,EQUITY,229.11,237.48,177.44,206.3,0
2025-06-30,PPLPHARMA,EQUITY,232.0,233.29,190.0,203.38,0
2025-07-31,PPLPHARMA,EQUITY,248.1,253.35,186.1,197.03,0
2025-08-31,PPLPHARMA,EQUITY,252.0,252.5,173.4,183.44,0
2025-09-30,PPLPHARMA,EQUITY,245.55,251.15,170.4,191.16,0
2025-10-31,PPLPHARMA,EQUITY,237.15,238.95,190.72,199.63,0
2025-11-30,PPLPHARMA,EQUITY,199.99,222.8,169.58,187.21,0
2025-12-31,PPLPHARMA,EQUITY,204.0,213.87,165.12,172.21,0
2026-01-31,PPLPHARMA,EQUITY,172.75,185.04,148.31,154.68,0
2026-02-28,PPLPHARMA,EQUITY,162.14,164.59,155.5,156.13,0
2026-03-31,PPLPHARMA,EQUITY,152.62,160.54,132.3,143.56,0
