DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-07-31,PREMIERENE,EQUITY,1045.75,1176.95,977.7,1093.1,0
2024-09-30,PREMIERENE,EQUITY,1120.0,1325.0,1012.05,1082.9,0
2024-10-31,PREMIERENE,EQUITY,1240.0,1267.95,922.85,1021.2,0
2024-11-30,PREMIERENE,EQUITY,1100.0,1344.5,957.1,1222.95,0
2024-12-31,PREMIERENE,EQUITY,1111.0,1388.0,1024.7,1353.1,0
2025-01-31,PREMIERENE,EQUITY,1357.0,1384.0,818.0,1032.05,0
2025-02-28,PREMIERENE,EQUITY,895.0,1085.0,840.15,873.3,0
2025-03-31,PREMIERENE,EQUITY,878.0,1098.0,827.1,937.95,0
2025-04-30,PREMIERENE,EQUITY,1145.0,1170.0,838.0,982.0,0
2025-05-31,PREMIERENE,EQUITY,1034.9,1163.9,891.6,1061.6,0
2025-06-30,PREMIERENE,EQUITY,1028.0,1072.4,905.55,1061.1,0
2025-07-31,PREMIERENE,EQUITY,1280.0,1311.0,774.05,1032.1,0
2025-08-31,PREMIERENE,EQUITY,1295.0,1304.9,842.55,994.1,0
2025-09-30,PREMIERENE,EQUITY,1252.0,1252.0,827.6,1021.55,0
2025-10-31,PREMIERENE,EQUITY,1200.0,1209.8,890.0,1093.2,0
2025-11-30,PREMIERENE,EQUITY,883.4,1119.4,834.1,975.7,0
2025-12-31,PREMIERENE,EQUITY,929.4,1079.9,840.0,842.15,0
2026-01-31,PREMIERENE,EQUITY,847.0,856.75,675.2,719.9,0
2026-02-28,PREMIERENE,EQUITY,772.5,784.9,666.9,731.0,0
2026-03-31,PREMIERENE,EQUITY,699.0,923.75,691.0,893.8,0
