DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-04-30,RVNL,EQUITY,19.0,26.95,18.65,22.05,0
2019-05-31,RVNL,EQUITY,22.05,29.9,21.3,27.0,0
2019-06-30,RVNL,EQUITY,26.9,28.35,25.6,27.8,0
2019-07-31,RVNL,EQUITY,28.05,28.85,22.1,23.4,0
2019-08-31,RVNL,EQUITY,23.4,26.3,22.5,24.7,0
2019-09-30,RVNL,EQUITY,23.9,27.1,23.35,24.1,0
2019-10-31,RVNL,EQUITY,24.45,26.85,22.75,23.8,0
2019-11-30,RVNL,EQUITY,23.85,25.75,23.75,23.95,0
2019-12-31,RVNL,EQUITY,24.0,24.0,22.7,22.95,0
2020-01-31,RVNL,EQUITY,23.05,29.3,22.95,27.35,0
2020-02-29,RVNL,EQUITY,24.95,25.75,20.7,21.0,0
2020-03-31,RVNL,EQUITY,21.75,21.85,10.0,12.8,0
2020-04-30,RVNL,EQUITY,14.3,19.25,13.8,17.05,0
2020-05-31,RVNL,EQUITY,17.25,19.1,16.2,17.0,0
2020-06-30,RVNL,EQUITY,17.25,21.3,17.2,18.85,0
2020-07-31,RVNL,EQUITY,18.9,21.4,18.3,19.2,0
2020-08-31,RVNL,EQUITY,19.2,23.5,19.0,21.55,0
2020-09-30,RVNL,EQUITY,21.45,22.15,18.8,19.4,0
2020-10-31,RVNL,EQUITY,19.45,19.65,18.05,18.2,0
2020-11-30,RVNL,EQUITY,18.3,22.1,18.05,21.85,0
2020-12-31,RVNL,EQUITY,23.3,24.5,20.6,24.0,0
2021-01-31,RVNL,EQUITY,24.3,35.55,23.6,31.3,0
2021-02-28,RVNL,EQUITY,30.25,33.15,28.8,31.75,0
2021-03-31,RVNL,EQUITY,32.75,33.45,27.25,29.1,0
2021-04-30,RVNL,EQUITY,29.3,30.2,26.35,27.2,0
2021-05-31,RVNL,EQUITY,27.05,30.85,26.9,29.5,0
2021-06-30,RVNL,EQUITY,29.85,34.5,29.2,33.7,0
2021-07-31,RVNL,EQUITY,34.0,34.0,29.55,29.6,0
2021-08-31,RVNL,EQUITY,29.85,30.5,27.5,28.2,0
2021-09-30,RVNL,EQUITY,27.9,32.7,27.9,30.2,0
2021-10-31,RVNL,EQUITY,31.5,44.8,30.05,35.3,0
2021-11-30,RVNL,EQUITY,35.9,39.9,32.75,33.45,0
2021-12-31,RVNL,EQUITY,34.95,37.4,32.8,34.75,0
2022-01-31,RVNL,EQUITY,35.45,39.3,34.35,36.0,0
2022-02-28,RVNL,EQUITY,36.15,36.25,29.0,30.95,0
2022-03-31,RVNL,EQUITY,30.55,36.7,30.0,32.7,0
2022-04-30,RVNL,EQUITY,32.8,37.4,32.75,33.65,0
2022-05-31,RVNL,EQUITY,33.55,33.85,30.2,32.4,0
