DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-07-31,SAMMAANCAP,EQUITY,158.0,178.75,144.42,174.27,0
2024-08-31,SAMMAANCAP,EQUITY,161.3,179.3,152.01,161.79,0
2024-09-30,SAMMAANCAP,EQUITY,161.5,174.0,150.5,162.89,0
2024-10-31,SAMMAANCAP,EQUITY,160.7,163.8,131.13,144.22,0
2024-11-30,SAMMAANCAP,EQUITY,142.75,169.75,130.69,167.87,0
2024-12-31,SAMMAANCAP,EQUITY,158.56,169.49,137.5,151.07,0
2025-01-31,SAMMAANCAP,EQUITY,151.0,170.2,123.5,140.7,0
2025-02-28,SAMMAANCAP,EQUITY,111.0,152.19,105.61,110.4,0
2025-03-31,SAMMAANCAP,EQUITY,111.04,192.95,103.85,107.1,0
2025-04-30,SAMMAANCAP,EQUITY,140.09,192.2,107.56,120.55,0
2025-05-31,SAMMAANCAP,EQUITY,141.5,150.7,118.58,124.12,0
2025-06-30,SAMMAANCAP,EQUITY,142.0,188.79,113.46,142.37,0
2025-07-31,SAMMAANCAP,EQUITY,159.04,187.94,97.61,126.88,0
2025-08-31,SAMMAANCAP,EQUITY,161.0,161.36,103.79,123.96,0
2025-09-30,SAMMAANCAP,EQUITY,159.15,162.35,103.5,160.86,0
2025-10-31,SAMMAANCAP,EQUITY,155.0,191.5,111.1,188.59,0
2025-11-30,SAMMAANCAP,EQUITY,110.44,185.0,105.84,153.76,0
2025-12-31,SAMMAANCAP,EQUITY,136.6,180.5,108.37,145.64,0
2026-01-31,SAMMAANCAP,EQUITY,146.19,152.38,135.65,150.71,0
2026-02-28,SAMMAANCAP,EQUITY,155.06,162.0,149.0,149.91,0
2026-03-31,SAMMAANCAP,EQUITY,146.0,155.52,129.0,148.35,0
