DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,SBIN,EQUITY,312.45,336.0,295.15,308.95,0
2015-02-28,SBIN,EQUITY,309.5,313.15,278.0,299.9,0
2015-03-31,SBIN,EQUITY,305.9,305.9,255.2,267.05,0
2015-04-30,SBIN,EQUITY,275.45,294.9,265.15,269.75,0
2015-05-31,SBIN,EQUITY,277.0,305.0,260.3,278.15,0
2015-06-30,SBIN,EQUITY,278.65,282.0,248.85,262.75,0
2015-07-31,SBIN,EQUITY,263.1,274.65,252.3,270.05,0
2015-08-31,SBIN,EQUITY,282.5,291.8,240.0,247.35,0
2015-09-30,SBIN,EQUITY,244.85,248.45,220.15,237.15,0
2015-10-31,SBIN,EQUITY,242.7,257.15,235.1,237.05,0
2015-11-30,SBIN,EQUITY,238.0,253.0,232.7,250.2,0
2015-12-31,SBIN,EQUITY,250.85,251.9,224.0,224.45,0
2016-01-31,SBIN,EQUITY,225.0,228.9,171.5,179.9,0
2016-02-29,SBIN,EQUITY,173.1,177.4,148.25,158.75,0
2016-03-31,SBIN,EQUITY,172.5,198.75,172.5,194.25,0
2016-04-30,SBIN,EQUITY,193.7,202.55,180.2,189.0,0
2016-05-31,SBIN,EQUITY,187.6,205.7,166.4,204.95,0
2016-06-30,SBIN,EQUITY,205.95,221.9,196.6,218.8,0
2016-07-31,SBIN,EQUITY,220.8,235.15,218.9,229.4,0
2016-08-31,SBIN,EQUITY,230.8,260.4,223.2,252.5,0
2016-09-30,SBIN,EQUITY,252.0,271.6,243.5,251.25,0
2016-10-31,SBIN,EQUITY,253.0,264.9,245.85,258.0,0
2016-11-30,SBIN,EQUITY,257.0,288.8,240.3,258.35,0
2016-12-31,SBIN,EQUITY,259.65,269.35,243.1,250.2,0
2017-01-31,SBIN,EQUITY,252.5,268.2,241.1,260.35,0
2017-02-28,SBIN,EQUITY,262.0,282.5,261.6,269.2,0
2017-03-31,SBIN,EQUITY,270.0,295.0,264.25,293.4,0
2017-04-30,SBIN,EQUITY,293.3,298.75,279.25,289.75,0
2017-05-31,SBIN,EQUITY,294.0,315.3,281.05,288.3,0
2017-06-30,SBIN,EQUITY,287.95,295.9,269.7,273.65,0
2017-07-31,SBIN,EQUITY,274.1,313.85,272.05,312.5,0
2017-08-31,SBIN,EQUITY,310.0,311.8,271.2,277.75,0
2017-09-30,SBIN,EQUITY,277.65,280.4,249.5,253.85,0
2017-10-31,SBIN,EQUITY,256.4,351.3,241.15,305.8,0
2017-11-30,SBIN,EQUITY,309.4,346.7,306.65,320.35,0
2017-12-31,SBIN,EQUITY,321.5,323.85,300.4,309.9,0
2018-01-31,SBIN,EQUITY,310.6,332.75,292.6,313.25,0
2018-02-28,SBIN,EQUITY,316.9,317.4,256.65,268.0,0
2018-03-31,SBIN,EQUITY,266.3,270.0,232.35,249.9,0
2018-04-30,SBIN,EQUITY,251.7,265.0,232.5,246.4,0
2018-05-31,SBIN,EQUITY,245.9,274.8,237.85,269.55,0
2018-06-30,SBIN,EQUITY,268.0,289.65,255.7,259.35,0
2018-07-31,SBIN,EQUITY,258.95,302.4,250.45,293.5,0
2018-08-31,SBIN,EQUITY,294.5,326.4,288.35,309.6,0
2018-09-30,SBIN,EQUITY,312.5,312.5,253.4,265.5,0
2018-10-31,SBIN,EQUITY,265.5,282.75,247.4,281.4,0
2018-11-30,SBIN,EQUITY,283.0,300.0,273.35,284.65,0
2018-12-31,SBIN,EQUITY,286.7,302.0,268.35,295.9,0
2019-01-31,SBIN,EQUITY,297.5,307.5,276.55,293.65,0
2019-02-28,SBIN,EQUITY,296.9,302.7,258.8,269.05,0
2019-03-31,SBIN,EQUITY,270.55,339.65,270.1,320.75,0
2019-04-30,SBIN,EQUITY,321.8,331.0,303.6,309.95,0
2019-05-31,SBIN,EQUITY,308.05,364.0,296.1,352.5,0
2019-06-30,SBIN,EQUITY,352.35,365.0,333.8,361.25,0
2019-07-31,SBIN,EQUITY,362.8,373.8,323.9,332.2,0
2019-08-31,SBIN,EQUITY,330.8,331.5,262.7,273.85,0
2019-09-30,SBIN,EQUITY,269.7,316.0,267.25,270.8,0
2019-10-31,SBIN,EQUITY,272.75,317.8,245.55,312.4,0
2019-11-30,SBIN,EQUITY,312.4,351.0,299.7,341.85,0
2019-12-31,SBIN,EQUITY,343.9,344.35,313.55,333.75,0
2020-01-31,SBIN,EQUITY,334.7,337.95,305.65,318.45,0
2020-02-29,SBIN,EQUITY,303.0,331.9,295.35,303.0,0
2020-03-31,SBIN,EQUITY,311.0,312.0,173.55,196.85,0
