DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,SOLARINDS,EQUITY,2700.05,3174.95,2650.0,3100.55,0
2015-02-28,SOLARINDS,EQUITY,3066.45,3620.0,3000.0,3314.15,0
2015-03-31,SOLARINDS,EQUITY,3360.0,3618.55,3151.75,3402.55,0
2015-04-30,SOLARINDS,EQUITY,3430.0,3880.05,3251.0,3387.15,0
2015-05-31,SOLARINDS,EQUITY,3579.9,3590.0,3255.1,3464.2,0
2015-06-30,SOLARINDS,EQUITY,3464.95,3820.0,3351.1,3712.75,0
2015-07-31,SOLARINDS,EQUITY,3745.0,4301.05,3636.0,3903.2,0
2015-08-31,SOLARINDS,EQUITY,3998.9,4027.05,3282.0,3436.5,0
2015-09-30,SOLARINDS,EQUITY,3400.0,3675.0,3300.0,3499.95,0
2015-10-31,SOLARINDS,EQUITY,3435.0,3563.95,3271.0,3371.8,0
2015-11-30,SOLARINDS,EQUITY,3384.9,3419.15,3201.0,3285.35,0
2015-12-31,SOLARINDS,EQUITY,3320.05,3588.0,3151.05,3523.45,0
2016-01-31,SOLARINDS,EQUITY,3550.0,3750.05,2989.95,3081.75,0
2016-02-29,SOLARINDS,EQUITY,3219.0,3375.0,2835.3,3023.75,0
2016-03-31,SOLARINDS,EQUITY,3229.95,3520.0,3053.5,3458.0,0
2016-04-30,SOLARINDS,EQUITY,3423.0,3498.5,3325.0,3393.25,0
2016-05-31,SOLARINDS,EQUITY,3417.9,3434.4,3135.0,3149.8,0
2016-06-30,SOLARINDS,EQUITY,3151.0,3290.5,2990.05,3149.05,0
2016-07-31,SOLARINDS,EQUITY,3149.0,3299.95,640.0,658.75,0
2016-08-31,SOLARINDS,EQUITY,655.5,668.95,588.0,658.6,0
2016-09-30,SOLARINDS,EQUITY,645.1,671.9,620.1,650.2,0
2016-10-31,SOLARINDS,EQUITY,644.05,685.0,644.05,662.95,0
2016-11-30,SOLARINDS,EQUITY,674.0,708.0,630.0,664.15,0
2016-12-31,SOLARINDS,EQUITY,657.0,689.85,647.0,674.9,0
2017-01-31,SOLARINDS,EQUITY,680.0,783.5,672.1,695.2,0
2017-02-28,SOLARINDS,EQUITY,703.5,747.8,695.1,714.95,0
2017-03-31,SOLARINDS,EQUITY,719.45,796.0,710.0,788.2,0
2017-04-30,SOLARINDS,EQUITY,784.9,915.0,765.05,801.6,0
2017-05-31,SOLARINDS,EQUITY,775.0,847.5,773.0,831.1,0
2017-06-30,SOLARINDS,EQUITY,844.55,844.95,800.25,824.65,0
2017-07-31,SOLARINDS,EQUITY,844.0,920.0,812.0,897.85,0
2017-08-31,SOLARINDS,EQUITY,880.6,905.25,833.0,883.95,0
2017-09-30,SOLARINDS,EQUITY,888.95,961.85,860.1,905.3,0
2017-10-31,SOLARINDS,EQUITY,921.0,1044.95,895.3,1027.3,0
2017-11-30,SOLARINDS,EQUITY,1039.0,1210.05,1020.0,1158.4,0
2017-12-31,SOLARINDS,EQUITY,1156.05,1272.8,1100.0,1180.15,0
2018-01-31,SOLARINDS,EQUITY,1182.95,1198.0,1060.05,1069.15,0
2018-02-28,SOLARINDS,EQUITY,1081.5,1097.95,990.0,1026.95,0
2018-03-31,SOLARINDS,EQUITY,1033.0,1081.5,975.1,1068.55,0
2018-04-30,SOLARINDS,EQUITY,1096.45,1096.45,1007.95,1063.7,0
2018-05-31,SOLARINDS,EQUITY,1066.75,1175.8,1010.0,1170.65,0
2018-06-30,SOLARINDS,EQUITY,1162.95,1196.0,1061.0,1128.1,0
2018-07-31,SOLARINDS,EQUITY,1126.85,1218.8,1059.0,1194.05,0
2018-08-31,SOLARINDS,EQUITY,1215.0,1300.0,1150.5,1168.4,0
2018-09-30,SOLARINDS,EQUITY,1179.0,1192.0,1016.0,1060.1,0
2018-10-31,SOLARINDS,EQUITY,1044.25,1070.0,941.0,1002.65,0
2018-11-30,SOLARINDS,EQUITY,1003.05,1042.7,980.0,1028.3,0
2018-12-31,SOLARINDS,EQUITY,1028.8,1100.0,975.0,1088.5,0
2019-01-31,SOLARINDS,EQUITY,1088.55,1095.0,977.4,1008.25,0
2019-02-28,SOLARINDS,EQUITY,1019.95,1025.0,924.3,941.9,0
2019-03-31,SOLARINDS,EQUITY,956.0,1099.0,945.55,1084.6,0
2019-04-30,SOLARINDS,EQUITY,1090.0,1099.0,1037.8,1075.3,0
2019-05-31,SOLARINDS,EQUITY,1066.05,1221.0,1015.6,1176.2,0
