DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,SUPREMEIND,EQUITY,599.25,604.0,570.1,590.55,0
2015-02-28,SUPREMEIND,EQUITY,593.0,697.0,582.1,660.8,0
2015-03-31,SUPREMEIND,EQUITY,660.3,742.0,651.55,712.6,0
2015-04-30,SUPREMEIND,EQUITY,723.5,739.9,635.0,682.85,0
2015-05-31,SUPREMEIND,EQUITY,685.45,714.95,653.0,667.8,0
2015-06-30,SUPREMEIND,EQUITY,670.0,705.25,650.0,675.25,0
2015-07-31,SUPREMEIND,EQUITY,674.5,690.0,590.0,626.85,0
2015-08-31,SUPREMEIND,EQUITY,627.05,672.5,574.95,590.95,0
2015-09-30,SUPREMEIND,EQUITY,600.0,644.0,542.8,618.5,0
2015-10-31,SUPREMEIND,EQUITY,652.0,652.0,590.0,630.05,0
2015-11-30,SUPREMEIND,EQUITY,634.75,659.0,610.0,652.5,0
2015-12-31,SUPREMEIND,EQUITY,652.5,692.0,520.0,681.45,0
2016-01-31,SUPREMEIND,EQUITY,682.05,746.0,640.3,740.75,0
2016-02-29,SUPREMEIND,EQUITY,748.95,765.0,646.5,670.15,0
2016-03-31,SUPREMEIND,EQUITY,711.0,806.7,711.0,739.65,0
2016-04-30,SUPREMEIND,EQUITY,744.0,835.0,726.7,800.4,0
2016-05-31,SUPREMEIND,EQUITY,802.0,1003.95,790.2,992.0,0
2016-06-30,SUPREMEIND,EQUITY,962.25,969.85,844.85,913.35,0
2016-07-31,SUPREMEIND,EQUITY,913.35,958.7,856.5,936.3,0
2016-08-31,SUPREMEIND,EQUITY,936.5,1025.0,910.35,956.95,0
2016-09-30,SUPREMEIND,EQUITY,954.0,966.05,859.25,907.3,0
2016-10-31,SUPREMEIND,EQUITY,909.5,947.9,896.15,902.95,0
2016-11-30,SUPREMEIND,EQUITY,918.3,920.0,779.9,899.0,0
2016-12-31,SUPREMEIND,EQUITY,885.5,922.05,840.1,906.95,0
2017-01-31,SUPREMEIND,EQUITY,915.0,953.0,865.0,939.0,0
2017-02-28,SUPREMEIND,EQUITY,939.0,1035.0,927.3,1008.65,0
2017-03-31,SUPREMEIND,EQUITY,1011.95,1107.0,983.0,1092.65,0
2017-04-30,SUPREMEIND,EQUITY,1117.7,1124.0,1058.6,1088.3,0
2017-05-31,SUPREMEIND,EQUITY,1152.05,1219.95,1117.05,1149.2,0
2017-06-30,SUPREMEIND,EQUITY,1150.0,1250.0,1119.1,1227.8,0
2017-07-31,SUPREMEIND,EQUITY,1188.9,1240.0,1052.5,1120.8,0
2017-08-31,SUPREMEIND,EQUITY,1113.75,1228.95,1020.1,1201.55,0
2017-09-30,SUPREMEIND,EQUITY,1202.0,1219.0,1060.6,1098.8,0
2017-10-31,SUPREMEIND,EQUITY,1102.0,1150.0,1065.0,1131.0,0
2017-11-30,SUPREMEIND,EQUITY,1128.35,1162.0,1096.0,1155.05,0
2017-12-31,SUPREMEIND,EQUITY,1166.0,1305.0,1100.0,1294.5,0
2018-01-31,SUPREMEIND,EQUITY,1303.0,1476.0,1215.1,1303.25,0
2018-02-28,SUPREMEIND,EQUITY,1290.05,1410.0,1155.6,1189.05,0
2018-03-31,SUPREMEIND,EQUITY,1199.8,1238.95,1161.15,1194.05,0
2018-04-30,SUPREMEIND,EQUITY,1203.9,1393.45,1182.0,1385.6,0
2018-05-31,SUPREMEIND,EQUITY,1384.9,1448.4,1239.4,1301.9,0
2018-06-30,SUPREMEIND,EQUITY,1301.1,1322.0,1120.0,1131.75,0
2018-07-31,SUPREMEIND,EQUITY,1160.0,1240.05,1081.9,1203.95,0
2018-08-31,SUPREMEIND,EQUITY,1214.3,1275.0,1128.0,1201.6,0
2018-09-30,SUPREMEIND,EQUITY,1206.0,1216.9,975.0,1006.3,0
2018-10-31,SUPREMEIND,EQUITY,991.6,1041.0,944.3,984.9,0
2018-11-30,SUPREMEIND,EQUITY,991.05,1012.0,957.0,993.85,0
2018-12-31,SUPREMEIND,EQUITY,1000.0,1204.7,937.6,1174.75,0
2019-01-31,SUPREMEIND,EQUITY,1178.0,1181.4,970.0,994.5,0
2019-02-28,SUPREMEIND,EQUITY,999.9,1172.0,983.25,1142.05,0
2019-03-31,SUPREMEIND,EQUITY,1147.0,1160.0,1051.85,1117.35,0
2019-04-30,SUPREMEIND,EQUITY,1101.0,1195.0,1081.25,1142.95,0
2019-05-31,SUPREMEIND,EQUITY,1148.0,1148.0,946.25,1078.7,0
2019-06-30,SUPREMEIND,EQUITY,1060.25,1155.45,1026.15,1146.05,0
2019-07-31,SUPREMEIND,EQUITY,1145.0,1157.0,989.0,1049.8,0
2019-08-31,SUPREMEIND,EQUITY,1058.0,1154.95,1001.0,1105.4,0
2019-09-30,SUPREMEIND,EQUITY,1088.75,1247.65,1078.0,1232.7,0
2019-10-31,SUPREMEIND,EQUITY,1237.0,1254.75,1158.05,1164.15,0
2019-11-30,SUPREMEIND,EQUITY,1161.2,1215.0,1105.6,1140.05,0
2019-12-31,SUPREMEIND,EQUITY,1142.7,1187.9,1102.15,1153.3,0
2020-01-31,SUPREMEIND,EQUITY,1168.2,1410.0,1132.0,1394.3,0
2020-02-29,SUPREMEIND,EQUITY,1352.75,1413.0,1285.0,1319.2,0
2020-03-31,SUPREMEIND,EQUITY,1311.3,1332.3,773.3,867.7,0
2020-04-30,SUPREMEIND,EQUITY,840.0,1162.35,791.5,1094.55,0
2020-05-31,SUPREMEIND,EQUITY,989.75,1028.0,873.4,1019.65,0
2020-06-30,SUPREMEIND,EQUITY,1026.0,1198.1,1022.0,1127.7,0
2020-07-31,SUPREMEIND,EQUITY,1134.9,1298.8,1091.0,1289.3,0
2020-08-31,SUPREMEIND,EQUITY,1297.7,1409.75,1191.3,1336.85,0
2020-09-30,SUPREMEIND,EQUITY,1336.85,1474.0,1295.0,1400.65,0
2020-10-31,SUPREMEIND,EQUITY,1407.7,1499.9,1322.6,1446.7,0
2020-11-30,SUPREMEIND,EQUITY,1470.0,1736.0,1379.0,1630.95,0
2020-12-31,SUPREMEIND,EQUITY,1733.7,1775.0,1586.95,1629.9,0
2021-01-31,SUPREMEIND,EQUITY,1631.0,1847.95,1610.0,1808.3,0
2021-02-28,SUPREMEIND,EQUITY,1820.0,2063.85,1800.05,2027.55,0
2021-03-31,SUPREMEIND,EQUITY,2100.0,2124.0,1963.0,2042.7,0
2021-04-30,SUPREMEIND,EQUITY,2049.9,2100.0,1930.0,2049.55,0
2021-05-31,SUPREMEIND,EQUITY,2056.35,2339.95,2053.65,2268.95,0
2021-06-30,SUPREMEIND,EQUITY,2280.0,2302.55,2090.0,2164.35,0
2021-07-31,SUPREMEIND,EQUITY,2189.85,2219.0,2046.25,2100.1,0
2021-08-31,SUPREMEIND,EQUITY,2140.0,2210.0,1905.75,2185.25,0
2021-09-30,SUPREMEIND,EQUITY,2148.0,2360.0,2091.6,2334.55,0
2021-10-31,SUPREMEIND,EQUITY,2428.7,2693.9,2225.5,2328.95,0
2021-11-30,SUPREMEIND,EQUITY,2363.5,2492.55,2050.0,2168.45,0
2021-12-31,SUPREMEIND,EQUITY,2220.0,2465.0,2152.0,2228.85,0
2022-01-31,SUPREMEIND,EQUITY,2259.0,2338.0,1963.15,2099.65,0
2022-02-28,SUPREMEIND,EQUITY,2160.0,2163.4,1872.6,2042.4,0
2022-03-31,SUPREMEIND,EQUITY,2005.05,2089.7,1949.65,2047.2,0
2022-04-30,SUPREMEIND,EQUITY,2028.6,2219.3,1918.25,1946.9,0
2022-05-31,SUPREMEIND,EQUITY,2025.0,2037.0,1695.8,1837.1,0
2022-06-30,SUPREMEIND,EQUITY,1837.1,1904.1,1666.25,1766.85,0
2022-07-31,SUPREMEIND,EQUITY,1760.05,1932.0,1752.45,1897.1,0
2022-08-31,SUPREMEIND,EQUITY,1900.0,2024.0,1820.0,1965.6,0
2022-09-30,SUPREMEIND,EQUITY,1967.2,2175.0,1963.25,2133.4,0
2022-10-31,SUPREMEIND,EQUITY,2133.4,2190.0,1906.5,2170.3,0
2022-11-30,SUPREMEIND,EQUITY,2160.0,2480.0,2050.0,2435.2,0
2022-12-31,SUPREMEIND,EQUITY,2447.95,2607.65,2278.6,2450.05,0
2023-01-31,SUPREMEIND,EQUITY,2450.05,2645.0,2335.0,2528.85,0
2023-02-28,SUPREMEIND,EQUITY,2513.7,2855.3,2503.0,2761.35,0
2023-03-31,SUPREMEIND,EQUITY,2738.95,2783.9,2431.15,2513.55,0
2023-04-30,SUPREMEIND,EQUITY,2513.95,2746.75,2500.0,2721.8,0
2023-05-31,SUPREMEIND,EQUITY,2760.0,2878.85,2715.0,2762.5,0
2023-06-30,SUPREMEIND,EQUITY,2770.0,3333.55,2763.6,3197.7,0
2023-07-31,SUPREMEIND,EQUITY,3175.0,3815.0,3140.0,3550.0,0
2023-08-31,SUPREMEIND,EQUITY,3562.0,4704.0,3450.1,4457.7,0
2023-09-30,SUPREMEIND,EQUITY,4524.55,4678.05,4015.05,4121.5,0
2023-10-31,SUPREMEIND,EQUITY,4101.5,4888.0,3826.05,4329.25,0
