DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,SUZLON,EQUITY,14.65,18.6,13.7,16.2,0
2015-02-28,SUZLON,EQUITY,16.2,28.25,16.0,27.8,0
2015-03-31,SUZLON,EQUITY,27.55,31.35,25.15,27.35,0
2015-04-30,SUZLON,EQUITY,27.4,30.25,22.25,23.8,0
2015-05-31,SUZLON,EQUITY,24.8,26.85,22.8,25.2,0
2015-06-30,SUZLON,EQUITY,23.8,24.6,20.15,22.2,0
2015-07-31,SUZLON,EQUITY,22.45,24.0,20.6,21.9,0
2015-08-31,SUZLON,EQUITY,24.65,28.0,19.8,22.1,0
2015-09-30,SUZLON,EQUITY,21.8,22.45,19.7,20.85,0
2015-10-31,SUZLON,EQUITY,22.15,25.15,21.95,24.6,0
2015-11-30,SUZLON,EQUITY,24.0,25.25,20.4,21.7,0
2015-12-31,SUZLON,EQUITY,22.0,23.1,20.4,20.85,0
2016-01-31,SUZLON,EQUITY,20.9,23.0,18.0,20.3,0
2016-02-29,SUZLON,EQUITY,18.65,18.85,12.8,13.5,0
2016-03-31,SUZLON,EQUITY,13.75,15.3,12.8,14.2,0
2016-04-30,SUZLON,EQUITY,14.1,15.85,13.65,14.95,0
2016-05-31,SUZLON,EQUITY,14.9,16.9,14.45,15.9,0
2016-06-30,SUZLON,EQUITY,15.95,18.45,14.9,17.4,0
2016-07-31,SUZLON,EQUITY,17.45,19.1,17.0,17.45,0
2016-08-31,SUZLON,EQUITY,17.6,17.65,15.7,15.8,0
2016-09-30,SUZLON,EQUITY,15.7,18.35,14.1,14.85,0
2016-10-31,SUZLON,EQUITY,15.0,15.4,14.3,15.15,0
2016-11-30,SUZLON,EQUITY,15.55,16.0,13.7,14.8,0
2016-12-31,SUZLON,EQUITY,14.85,15.15,13.6,13.8,0
2017-01-31,SUZLON,EQUITY,13.8,18.0,13.8,17.1,0
2017-02-28,SUZLON,EQUITY,17.15,19.15,15.7,18.1,0
2017-03-31,SUZLON,EQUITY,18.25,19.85,16.95,19.1,0
2017-04-30,SUZLON,EQUITY,19.35,21.4,18.7,20.6,0
2017-05-31,SUZLON,EQUITY,20.6,22.25,18.45,19.3,0
2017-06-30,SUZLON,EQUITY,19.3,20.0,17.45,18.75,0
2017-07-31,SUZLON,EQUITY,18.85,20.25,18.2,18.95,0
2017-08-31,SUZLON,EQUITY,18.95,19.0,14.45,16.3,0
2017-09-30,SUZLON,EQUITY,16.4,17.5,15.25,15.6,0
2017-10-31,SUZLON,EQUITY,15.8,17.1,14.75,16.95,0
2017-11-30,SUZLON,EQUITY,17.0,17.3,12.8,13.95,0
2017-12-31,SUZLON,EQUITY,14.2,15.7,13.0,15.55,0
2018-01-31,SUZLON,EQUITY,15.55,17.1,14.45,14.6,0
2018-02-28,SUZLON,EQUITY,14.8,15.1,12.4,12.8,0
