DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,TATACOMM,EQUITY,441.5,445.2,399.4,410.5,0
2015-02-28,TATACOMM,EQUITY,406.0,420.5,380.7,399.15,0
2015-03-31,TATACOMM,EQUITY,400.0,449.9,388.6,422.0,0
2015-04-30,TATACOMM,EQUITY,430.15,505.8,419.0,435.45,0
2015-05-31,TATACOMM,EQUITY,438.1,453.25,419.45,436.55,0
2015-06-30,TATACOMM,EQUITY,436.0,444.95,394.5,443.1,0
2015-07-31,TATACOMM,EQUITY,447.0,491.35,429.1,450.45,0
2015-08-31,TATACOMM,EQUITY,440.1,452.7,335.55,392.5,0
2015-09-30,TATACOMM,EQUITY,384.25,417.0,363.15,413.6,0
2015-10-31,TATACOMM,EQUITY,415.0,439.3,408.85,429.0,0
2015-11-30,TATACOMM,EQUITY,433.8,447.5,411.0,431.6,0
2015-12-31,TATACOMM,EQUITY,434.7,442.05,392.3,435.85,0
2016-01-31,TATACOMM,EQUITY,433.9,462.6,372.95,400.0,0
2016-02-29,TATACOMM,EQUITY,411.8,416.0,325.0,330.9,0
2016-03-31,TATACOMM,EQUITY,332.55,389.35,328.55,377.6,0
2016-04-30,TATACOMM,EQUITY,375.5,425.4,372.8,413.2,0
2016-05-31,TATACOMM,EQUITY,411.8,474.9,410.0,457.25,0
2016-06-30,TATACOMM,EQUITY,453.25,488.8,425.05,480.45,0
2016-07-31,TATACOMM,EQUITY,482.0,497.15,438.6,440.6,0
2016-08-31,TATACOMM,EQUITY,441.15,536.5,430.25,526.05,0
2016-09-30,TATACOMM,EQUITY,511.0,579.35,490.9,565.65,0
2016-10-31,TATACOMM,EQUITY,565.0,687.9,554.55,635.3,0
2016-11-30,TATACOMM,EQUITY,638.0,667.8,593.0,657.95,0
2016-12-31,TATACOMM,EQUITY,658.0,673.95,595.25,627.6,0
2017-01-31,TATACOMM,EQUITY,626.85,751.3,620.0,706.6,0
2017-02-28,TATACOMM,EQUITY,709.0,775.4,706.7,737.15,0
2017-03-31,TATACOMM,EQUITY,737.15,783.9,706.0,722.05,0
2017-04-30,TATACOMM,EQUITY,732.25,738.7,690.2,721.05,0
2017-05-31,TATACOMM,EQUITY,708.2,734.85,625.25,730.35,0
2017-06-30,TATACOMM,EQUITY,730.35,776.0,703.0,722.9,0
2017-07-31,TATACOMM,EQUITY,720.7,724.15,640.0,671.1,0
2017-08-31,TATACOMM,EQUITY,660.0,667.0,572.95,651.9,0
2017-09-30,TATACOMM,EQUITY,656.95,729.0,651.25,685.3,0
2017-10-31,TATACOMM,EQUITY,689.0,736.9,648.45,684.45,0
2017-11-30,TATACOMM,EQUITY,703.85,719.0,666.1,689.85,0
2017-12-31,TATACOMM,EQUITY,690.25,754.0,659.25,681.55,0
2018-01-31,TATACOMM,EQUITY,680.4,689.0,602.6,615.35,0
2018-02-28,TATACOMM,EQUITY,618.4,666.0,596.15,642.35,0
2018-03-31,TATACOMM,EQUITY,638.5,648.3,606.55,620.15,0
2018-04-30,TATACOMM,EQUITY,656.35,671.0,614.5,623.8,0
2018-05-31,TATACOMM,EQUITY,627.45,649.2,596.05,617.35,0
2018-06-30,TATACOMM,EQUITY,603.2,620.4,574.3,592.75,0
2018-07-31,TATACOMM,EQUITY,594.0,623.95,534.5,578.6,0
