DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,TATAELXSI,EQUITY,597.0,817.2,596.0,763.85,0
2015-02-28,TATAELXSI,EQUITY,755.1,1089.0,749.6,1060.9,0
2015-03-31,TATAELXSI,EQUITY,1115.0,1458.0,1036.2,1157.25,0
2015-04-30,TATAELXSI,EQUITY,1288.0,1405.0,975.0,1108.05,0
2015-05-31,TATAELXSI,EQUITY,1149.7,1296.0,1101.9,1265.0,0
2015-06-30,TATAELXSI,EQUITY,1269.9,1292.0,1054.5,1202.75,0
2015-07-31,TATAELXSI,EQUITY,1205.0,1759.5,1192.65,1705.2,0
2015-08-31,TATAELXSI,EQUITY,1810.9,2317.4,1555.0,1838.45,0
2015-09-30,TATAELXSI,EQUITY,1805.0,2024.0,1713.0,1879.95,0
2015-10-31,TATAELXSI,EQUITY,1955.0,1988.85,1752.0,1826.5,0
2015-11-30,TATAELXSI,EQUITY,1830.0,2058.05,1678.8,2031.7,0
2015-12-31,TATAELXSI,EQUITY,2036.0,2329.9,1836.0,2244.05,0
2016-01-31,TATAELXSI,EQUITY,2252.0,2281.2,1636.65,2082.6,0
2016-02-29,TATAELXSI,EQUITY,2245.0,2403.0,1595.0,1694.25,0
2016-03-31,TATAELXSI,EQUITY,1850.0,2012.0,1810.1,1883.85,0
2016-04-30,TATAELXSI,EQUITY,1883.7,2065.0,1855.2,1909.4,0
2016-05-31,TATAELXSI,EQUITY,1895.0,1941.75,1776.15,1800.6,0
2016-06-30,TATAELXSI,EQUITY,1798.0,1826.75,1611.45,1697.0,0
2016-07-31,TATAELXSI,EQUITY,1705.55,1781.9,1595.0,1650.95,0
2016-08-31,TATAELXSI,EQUITY,1650.95,1757.8,1538.0,1579.55,0
2016-09-30,TATAELXSI,EQUITY,1569.0,1589.7,1368.0,1392.25,0
2016-10-31,TATAELXSI,EQUITY,1406.8,1422.0,1222.05,1294.85,0
2016-11-30,TATAELXSI,EQUITY,1304.35,1354.9,1021.25,1269.0,0
2016-12-31,TATAELXSI,EQUITY,1279.0,1498.0,1263.1,1405.2,0
2017-01-31,TATAELXSI,EQUITY,1406.9,1555.0,1372.2,1423.35,0
2017-02-28,TATAELXSI,EQUITY,1410.1,1533.0,1394.05,1503.8,0
2017-03-31,TATAELXSI,EQUITY,1504.0,1544.2,1426.0,1464.9,0
2017-04-30,TATAELXSI,EQUITY,1487.0,1603.45,1484.95,1512.05,0
2017-05-31,TATAELXSI,EQUITY,1535.0,1594.0,1282.35,1334.25,0
2017-06-30,TATAELXSI,EQUITY,1339.0,1663.8,1330.0,1584.7,0
2017-07-31,TATAELXSI,EQUITY,1586.95,1777.35,1585.3,1753.15,0
2017-08-31,TATAELXSI,EQUITY,1743.9,1752.5,1582.65,1639.85,0
2017-09-30,TATAELXSI,EQUITY,1643.8,1839.95,792.3,813.3,0
2017-10-31,TATAELXSI,EQUITY,824.0,888.0,795.05,839.65,0
2017-11-30,TATAELXSI,EQUITY,844.05,975.75,839.7,942.8,0
2017-12-31,TATAELXSI,EQUITY,945.0,984.85,882.4,977.15,0
2018-01-31,TATAELXSI,EQUITY,977.95,1123.25,950.15,1059.8,0
2018-02-28,TATAELXSI,EQUITY,1064.5,1076.45,956.65,1053.25,0
2018-03-31,TATAELXSI,EQUITY,1052.5,1067.3,955.85,985.35,0
2018-04-30,TATAELXSI,EQUITY,1011.7,1259.9,998.0,1237.8,0
2018-05-31,TATAELXSI,EQUITY,1239.0,1256.9,1118.8,1237.1,0
2018-06-30,TATAELXSI,EQUITY,1216.2,1358.35,1137.3,1334.7,0
2018-07-31,TATAELXSI,EQUITY,1340.0,1490.9,1321.85,1428.2,0
2018-08-31,TATAELXSI,EQUITY,1426.5,1462.0,1381.0,1435.85,0
2018-09-30,TATAELXSI,EQUITY,1440.0,1470.0,1131.1,1156.0,0
2018-10-31,TATAELXSI,EQUITY,1152.25,1190.0,922.0,1034.95,0
2018-11-30,TATAELXSI,EQUITY,1043.95,1090.0,952.7,1024.05,0
2018-12-31,TATAELXSI,EQUITY,1035.0,1056.0,952.55,1020.4,0
2019-01-31,TATAELXSI,EQUITY,1024.45,1042.0,866.0,874.0,0
2019-02-28,TATAELXSI,EQUITY,877.6,929.9,830.1,884.85,0
2019-03-31,TATAELXSI,EQUITY,890.0,1010.95,886.0,963.1,0
2019-04-30,TATAELXSI,EQUITY,965.1,999.6,915.9,930.4,0
2019-05-31,TATAELXSI,EQUITY,932.7,932.7,822.1,871.6,0
2019-06-30,TATAELXSI,EQUITY,874.0,892.5,834.0,884.9,0
2019-07-31,TATAELXSI,EQUITY,890.1,924.95,608.5,636.85,0
2019-08-31,TATAELXSI,EQUITY,634.0,669.0,592.25,632.25,0
2019-09-30,TATAELXSI,EQUITY,631.35,701.2,606.0,677.25,0
2019-10-31,TATAELXSI,EQUITY,681.0,831.0,615.0,818.95,0
2019-11-30,TATAELXSI,EQUITY,818.5,839.0,782.45,806.95,0
2019-12-31,TATAELXSI,EQUITY,810.8,899.0,778.0,825.95,0
2020-01-31,TATAELXSI,EQUITY,827.9,979.0,816.55,949.2,0
2020-02-29,TATAELXSI,EQUITY,950.0,1098.4,855.1,882.75,0
2020-03-31,TATAELXSI,EQUITY,887.0,1071.25,499.95,629.1,0
2020-04-30,TATAELXSI,EQUITY,617.0,860.0,590.05,802.85,0
2020-05-31,TATAELXSI,EQUITY,779.0,818.8,740.1,764.9,0
2020-06-30,TATAELXSI,EQUITY,775.0,943.0,767.35,897.3,0
2020-07-31,TATAELXSI,EQUITY,904.0,977.95,876.0,940.0,0
2020-08-31,TATAELXSI,EQUITY,962.0,1208.6,933.0,1074.8,0
2020-09-30,TATAELXSI,EQUITY,1074.8,1331.0,1060.45,1287.0,0
2020-10-31,TATAELXSI,EQUITY,1295.0,1710.0,1270.15,1534.1,0
2020-11-30,TATAELXSI,EQUITY,1526.85,1609.0,1465.45,1588.25,0
2020-12-31,TATAELXSI,EQUITY,1628.0,1888.0,1468.0,1835.3,0
2021-01-31,TATAELXSI,EQUITY,1843.0,2849.0,1837.0,2690.6,0
2021-02-28,TATAELXSI,EQUITY,2980.0,3050.0,2607.0,2657.85,0
2021-03-31,TATAELXSI,EQUITY,2645.75,2837.5,2551.0,2692.9,0
2021-04-30,TATAELXSI,EQUITY,2707.0,3519.6,2705.0,3480.1,0
2021-05-31,TATAELXSI,EQUITY,3475.0,4090.0,3390.15,3643.55,0
2021-06-30,TATAELXSI,EQUITY,3669.0,4350.0,3555.0,4304.3,0
2021-07-31,TATAELXSI,EQUITY,4375.3,4575.0,4107.05,4225.9,0
2021-08-31,TATAELXSI,EQUITY,4264.0,4949.0,4110.0,4770.95,0
2021-09-30,TATAELXSI,EQUITY,4874.0,5971.9,4821.15,5594.05,0
2021-10-31,TATAELXSI,EQUITY,5895.0,6610.0,5700.0,5872.3,0
2021-11-30,TATAELXSI,EQUITY,5900.0,6730.0,5263.4,5781.65,0
2021-12-31,TATAELXSI,EQUITY,5781.65,6099.0,5340.0,5868.0,0
2022-01-31,TATAELXSI,EQUITY,5950.0,7800.0,5782.0,7607.35,0
2022-02-28,TATAELXSI,EQUITY,7580.0,7833.0,5990.0,6431.85,0
2022-03-31,TATAELXSI,EQUITY,6374.0,9420.0,6340.05,8840.15,0
2022-04-30,TATAELXSI,EQUITY,8884.0,9164.4,7461.0,7746.0,0
2022-05-31,TATAELXSI,EQUITY,7748.0,8820.0,6601.55,8381.1,0
2022-06-30,TATAELXSI,EQUITY,8612.0,8821.95,7123.0,8170.55,0
2022-07-31,TATAELXSI,EQUITY,8170.55,8700.0,7636.0,8690.05,0
2022-08-31,TATAELXSI,EQUITY,8702.0,10760.0,8590.1,9019.25,0
2022-09-30,TATAELXSI,EQUITY,9099.0,9270.0,8220.0,8556.45,0
2022-10-31,TATAELXSI,EQUITY,8480.0,8685.0,6840.0,6995.85,0
2022-11-30,TATAELXSI,EQUITY,7060.0,7095.7,6601.0,7010.25,0
2022-12-31,TATAELXSI,EQUITY,7089.8,7195.0,5709.05,6285.9,0
2023-01-31,TATAELXSI,EQUITY,6317.35,6819.95,6131.75,6632.7,0
2023-02-28,TATAELXSI,EQUITY,6666.0,6824.9,6089.0,6129.25,0
2023-03-31,TATAELXSI,EQUITY,6128.85,6357.8,5882.55,5959.1,0
2023-04-30,TATAELXSI,EQUITY,6027.0,6687.0,6020.0,6643.6,0
2023-05-31,TATAELXSI,EQUITY,6688.0,7619.95,6610.0,7421.55,0
2023-06-30,TATAELXSI,EQUITY,7478.8,7939.95,7450.1,7588.5,0
2023-07-31,TATAELXSI,EQUITY,7566.15,7846.5,7140.0,7159.4,0
2023-08-31,TATAELXSI,EQUITY,7199.0,7424.0,6992.05,7247.1,0
2023-09-30,TATAELXSI,EQUITY,7300.0,7465.0,7201.05,7227.15,0
2023-10-31,TATAELXSI,EQUITY,7260.0,7758.9,7172.0,7625.2,0
2023-11-30,TATAELXSI,EQUITY,7650.0,8576.05,7450.0,8252.8,0
2023-12-31,TATAELXSI,EQUITY,8333.25,9200.0,8316.35,8753.45,0
2024-01-31,TATAELXSI,EQUITY,8793.0,8819.9,7564.2,7605.15,0
2024-02-29,TATAELXSI,EQUITY,7610.0,7995.0,7350.0,7811.05,0
2024-03-31,TATAELXSI,EQUITY,7900.0,7993.2,7335.0,7785.15,0
2024-04-30,TATAELXSI,EQUITY,7845.0,8195.0,7000.0,7051.9,0
2024-05-31,TATAELXSI,EQUITY,7098.0,7559.0,6903.0,6944.35,0
2024-06-30,TATAELXSI,EQUITY,7148.0,7375.0,6652.55,7001.4,0
2024-07-31,TATAELXSI,EQUITY,7100.0,7627.95,6716.0,6984.5,0
2024-08-31,TATAELXSI,EQUITY,7061.0,9080.0,6724.65,8000.7,0
2024-09-30,TATAELXSI,EQUITY,7590.0,8142.15,7320.0,7724.45,0
2024-10-31,TATAELXSI,EQUITY,7075.0,8027.0,6870.6,7021.85,0
2024-11-30,TATAELXSI,EQUITY,7021.0,7415.0,6286.0,6670.75,0
2024-12-31,TATAELXSI,EQUITY,7757.4,7870.0,6483.3,6796.55,0
2025-01-31,TATAELXSI,EQUITY,6810.5,6840.0,5176.0,6336.0,0
2025-02-28,TATAELXSI,EQUITY,5092.15,6469.0,5044.35,5411.1,0
2025-03-31,TATAELXSI,EQUITY,5416.05,6436.5,5111.45,5214.6,0
2025-04-30,TATAELXSI,EQUITY,6415.0,6467.0,4801.0,5766.0,0
2025-05-31,TATAELXSI,EQUITY,6371.1,6535.0,5196.0,6439.5,0
2025-06-30,TATAELXSI,EQUITY,6400.0,6520.0,5221.0,6310.0,0
2025-07-31,TATAELXSI,EQUITY,6540.0,6577.75,4700.0,6093.5,0
2025-08-31,TATAELXSI,EQUITY,6575.0,6591.85,4760.0,5234.0,0
2025-09-30,TATAELXSI,EQUITY,6525.0,6635.0,4729.05,5227.0,0
2025-10-31,TATAELXSI,EQUITY,5950.0,6735.0,5270.0,5454.5,0
2025-11-30,TATAELXSI,EQUITY,5453.05,6680.0,4709.0,5158.5,0
2025-12-31,TATAELXSI,EQUITY,6110.0,6170.0,4934.5,5240.5,0
2026-01-31,TATAELXSI,EQUITY,5250.0,5950.0,5185.0,5323.5,0
2026-02-28,TATAELXSI,EQUITY,4675.5,4700.0,4455.0,4513.0,0
2026-03-31,TATAELXSI,EQUITY,4317.7,4529.0,4021.6,4160.8,0
