DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,TECHM,EQUITY,2589.0,2991.5,2513.2,2868.5,0
2015-02-28,TECHM,EQUITY,2972.0,2995.1,2740.0,2835.75,0
2015-03-31,TECHM,EQUITY,2878.8,2943.75,618.65,629.7,0
2015-04-30,TECHM,EQUITY,635.1,680.6,565.1,621.35,0
2015-05-31,TECHM,EQUITY,617.0,669.0,541.0,554.4,0
2015-06-30,TECHM,EQUITY,559.0,564.3,467.1,477.8,0
2015-07-31,TECHM,EQUITY,476.65,532.8,460.3,530.7,0
2015-08-31,TECHM,EQUITY,525.0,575.75,492.7,515.0,0
2015-09-30,TECHM,EQUITY,510.0,582.0,506.1,557.35,0
2015-10-31,TECHM,EQUITY,575.0,578.85,534.1,539.15,0
2015-11-30,TECHM,EQUITY,541.0,563.0,508.0,533.45,0
2015-12-31,TECHM,EQUITY,533.0,548.0,512.4,521.65,0
2016-01-31,TECHM,EQUITY,524.9,529.95,492.95,501.4,0
2016-02-29,TECHM,EQUITY,496.0,499.35,407.4,415.55,0
2016-03-31,TECHM,EQUITY,438.45,498.4,434.05,474.95,0
2016-04-30,TECHM,EQUITY,476.0,489.0,442.9,486.15,0
2016-05-31,TECHM,EQUITY,485.0,564.0,459.7,540.35,0
2016-06-30,TECHM,EQUITY,541.0,551.9,493.55,505.75,0
2016-07-31,TECHM,EQUITY,508.2,524.0,482.1,487.95,0
2016-08-31,TECHM,EQUITY,485.2,509.7,448.55,468.8,0
2016-09-30,TECHM,EQUITY,469.95,481.25,418.7,419.85,0
2016-10-31,TECHM,EQUITY,420.0,444.0,405.5,435.65,0
2016-11-30,TECHM,EQUITY,436.0,495.85,414.8,485.2,0
2016-12-31,TECHM,EQUITY,480.05,493.0,453.75,488.9,0
2017-01-31,TECHM,EQUITY,494.5,496.9,425.5,452.2,0
2017-02-28,TECHM,EQUITY,452.25,515.25,436.45,499.4,0
2017-03-31,TECHM,EQUITY,488.95,507.25,451.2,459.15,0
2017-04-30,TECHM,EQUITY,454.0,456.6,412.45,416.95,0
2017-05-31,TECHM,EQUITY,420.0,446.9,356.65,390.0,0
2017-06-30,TECHM,EQUITY,390.0,414.85,377.4,382.0,0
2017-07-31,TECHM,EQUITY,382.05,400.95,373.1,385.85,0
2017-08-31,TECHM,EQUITY,402.6,444.25,392.8,428.15,0
2017-09-30,TECHM,EQUITY,429.0,464.25,418.05,457.85,0
2017-10-31,TECHM,EQUITY,456.8,488.5,448.55,482.05,0
2017-11-30,TECHM,EQUITY,484.95,502.8,461.05,489.25,0
2017-12-31,TECHM,EQUITY,490.0,518.15,462.65,504.05,0
2018-01-31,TECHM,EQUITY,501.1,626.2,500.05,612.65,0
2018-02-28,TECHM,EQUITY,612.55,631.2,563.65,612.65,0
2018-03-31,TECHM,EQUITY,612.05,651.95,603.0,638.7,0
2018-04-30,TECHM,EQUITY,618.0,729.5,603.25,670.6,0
2018-05-31,TECHM,EQUITY,674.0,718.7,636.45,712.35,0
2018-06-30,TECHM,EQUITY,698.0,721.9,634.15,655.45,0
2018-07-31,TECHM,EQUITY,657.95,684.9,612.4,680.75,0
2018-08-31,TECHM,EQUITY,684.4,768.75,634.1,765.8,0
2018-09-30,TECHM,EQUITY,768.0,779.35,693.0,745.5,0
2018-10-31,TECHM,EQUITY,749.0,763.5,640.4,743.9,0
