DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2025-02-28,TMPV,EQUITY,364.0,364.0,359.6,361.75,0
2025-03-31,TMPV,EQUITY,414.0,417.85,354.1,356.85,0
2025-04-30,TMPV,EQUITY,417.4,417.5,405.1,406.5,0
2025-05-31,TMPV,EQUITY,355.0,356.55,353.0,353.6,0
2025-06-30,TMPV,EQUITY,407.15,409.7,405.4,407.85,0
2025-07-31,TMPV,EQUITY,406.7,407.2,401.45,405.7,0
2025-08-31,TMPV,EQUITY,353.95,356.2,345.8,348.3,0
2025-09-30,TMPV,EQUITY,348.5,348.65,341.7,344.7,0
2025-10-31,TMPV,EQUITY,406.95,419.0,401.0,410.0,0
2025-11-30,TMPV,EQUITY,412.55,413.7,341.4,356.8,0
2025-12-31,TMPV,EQUITY,407.6,411.4,337.7,367.35,0
2026-01-31,TMPV,EQUITY,368.85,375.0,335.6,350.05,0
2026-02-28,TMPV,EQUITY,376.85,394.05,371.65,382.65,0
2026-03-31,TMPV,EQUITY,358.0,378.4,301.05,303.2,0
