DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,TORNTPOWER,EQUITY,159.0,178.5,157.0,171.75,0
2015-02-28,TORNTPOWER,EQUITY,180.0,181.85,161.8,171.55,0
2015-03-31,TORNTPOWER,EQUITY,170.95,176.25,156.0,163.55,0
2015-04-30,TORNTPOWER,EQUITY,162.45,174.2,156.7,165.1,0
2015-05-31,TORNTPOWER,EQUITY,165.0,172.65,155.6,162.4,0
2015-06-30,TORNTPOWER,EQUITY,162.4,162.85,136.75,140.0,0
2015-07-31,TORNTPOWER,EQUITY,140.75,151.95,139.15,146.2,0
2015-08-31,TORNTPOWER,EQUITY,151.7,191.9,140.05,154.55,0
2015-09-30,TORNTPOWER,EQUITY,153.1,186.8,146.0,178.15,0
2015-10-31,TORNTPOWER,EQUITY,181.05,199.9,172.1,194.3,0
2015-11-30,TORNTPOWER,EQUITY,195.45,197.7,172.25,184.55,0
2015-12-31,TORNTPOWER,EQUITY,185.35,199.45,170.1,173.55,0
2016-01-31,TORNTPOWER,EQUITY,174.1,241.9,171.35,234.0,0
2016-02-29,TORNTPOWER,EQUITY,239.35,246.9,192.4,227.75,0
2016-03-31,TORNTPOWER,EQUITY,227.4,252.7,214.5,231.9,0
2016-04-30,TORNTPOWER,EQUITY,232.0,250.95,223.25,234.75,0
2016-05-31,TORNTPOWER,EQUITY,231.8,237.05,175.7,184.5,0
2016-06-30,TORNTPOWER,EQUITY,186.0,191.35,162.5,175.35,0
2016-07-31,TORNTPOWER,EQUITY,176.0,179.55,166.5,169.55,0
2016-08-31,TORNTPOWER,EQUITY,170.05,196.0,159.8,188.45,0
2016-09-30,TORNTPOWER,EQUITY,183.95,192.3,170.2,180.3,0
2016-10-31,TORNTPOWER,EQUITY,181.45,186.0,168.4,173.3,0
2016-11-30,TORNTPOWER,EQUITY,175.0,182.5,159.3,178.35,0
2016-12-31,TORNTPOWER,EQUITY,179.15,190.45,170.0,179.0,0
2017-01-31,TORNTPOWER,EQUITY,179.0,204.95,176.25,194.05,0
2017-02-28,TORNTPOWER,EQUITY,194.95,213.15,193.0,205.3,0
2017-03-31,TORNTPOWER,EQUITY,205.2,241.95,190.5,230.35,0
2017-04-30,TORNTPOWER,EQUITY,235.4,237.75,209.5,227.25,0
2017-05-31,TORNTPOWER,EQUITY,222.5,229.8,181.5,190.8,0
2017-06-30,TORNTPOWER,EQUITY,192.8,193.25,171.5,177.65,0
2017-07-31,TORNTPOWER,EQUITY,179.95,192.15,176.65,181.95,0
2017-08-31,TORNTPOWER,EQUITY,183.35,218.9,181.9,210.15,0
2017-09-30,TORNTPOWER,EQUITY,210.4,232.85,207.7,210.6,0
2017-10-31,TORNTPOWER,EQUITY,212.2,278.5,210.5,271.3,0
2017-11-30,TORNTPOWER,EQUITY,273.0,289.0,245.6,286.4,0
2017-12-31,TORNTPOWER,EQUITY,283.7,286.85,249.8,283.25,0
2018-01-31,TORNTPOWER,EQUITY,284.0,307.35,274.1,285.45,0
2018-02-28,TORNTPOWER,EQUITY,284.5,285.0,239.6,264.65,0
2018-03-31,TORNTPOWER,EQUITY,264.0,272.6,216.0,229.25,0
2018-04-30,TORNTPOWER,EQUITY,240.9,252.75,231.35,247.05,0
2018-05-31,TORNTPOWER,EQUITY,247.1,276.4,211.9,262.3,0
2018-06-30,TORNTPOWER,EQUITY,269.0,271.0,215.6,227.15,0
2018-07-31,TORNTPOWER,EQUITY,226.05,247.15,216.6,240.45,0
2018-08-31,TORNTPOWER,EQUITY,242.4,270.55,222.5,263.6,0
2018-09-30,TORNTPOWER,EQUITY,263.95,276.05,214.0,220.4,0
2018-10-31,TORNTPOWER,EQUITY,218.1,260.7,211.5,257.75,0
2018-11-30,TORNTPOWER,EQUITY,258.95,275.3,249.2,270.9,0
2018-12-31,TORNTPOWER,EQUITY,271.5,276.95,238.7,261.8,0
2019-01-31,TORNTPOWER,EQUITY,262.7,272.0,242.8,247.3,0
2019-02-28,TORNTPOWER,EQUITY,245.2,252.45,230.2,242.95,0
2019-03-31,TORNTPOWER,EQUITY,244.9,269.4,242.95,257.5,0
2019-04-30,TORNTPOWER,EQUITY,258.2,268.75,245.15,253.2,0
2019-05-31,TORNTPOWER,EQUITY,251.0,261.0,231.05,245.95,0
2019-06-30,TORNTPOWER,EQUITY,246.0,289.7,239.7,281.3,0
2019-07-31,TORNTPOWER,EQUITY,283.1,313.7,282.0,305.3,0
2019-08-31,TORNTPOWER,EQUITY,304.45,305.8,275.35,278.0,0
2019-09-30,TORNTPOWER,EQUITY,272.2,294.75,269.6,287.5,0
2019-10-31,TORNTPOWER,EQUITY,289.3,298.75,274.2,280.15,0
2019-11-30,TORNTPOWER,EQUITY,280.15,305.6,278.0,280.1,0
2019-12-31,TORNTPOWER,EQUITY,280.0,289.9,267.6,284.0,0
2020-01-31,TORNTPOWER,EQUITY,284.0,330.7,280.8,309.8,0
2020-02-29,TORNTPOWER,EQUITY,305.9,332.8,297.4,302.95,0
2020-03-31,TORNTPOWER,EQUITY,304.9,322.0,231.95,279.05,0
2020-04-30,TORNTPOWER,EQUITY,281.05,335.65,272.65,330.3,0
2020-05-31,TORNTPOWER,EQUITY,333.0,338.7,291.45,318.45,0
2020-06-30,TORNTPOWER,EQUITY,322.5,349.95,316.2,318.75,0
2020-07-31,TORNTPOWER,EQUITY,320.0,338.7,312.9,325.45,0
2020-08-31,TORNTPOWER,EQUITY,327.8,368.9,325.4,332.9,0
2020-09-30,TORNTPOWER,EQUITY,332.9,345.1,305.1,313.35,0
2020-10-31,TORNTPOWER,EQUITY,315.5,327.1,293.2,312.2,0
