DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,UCOBANK,EQUITY,84.25,86.9,74.55,75.3,0
2015-02-28,UCOBANK,EQUITY,75.15,77.45,67.1,72.1,0
2015-03-31,UCOBANK,EQUITY,72.5,74.7,61.6,63.9,0
2015-04-30,UCOBANK,EQUITY,66.0,71.2,62.65,63.05,0
2015-05-31,UCOBANK,EQUITY,65.2,65.6,56.9,63.8,0
2015-06-30,UCOBANK,EQUITY,64.0,64.25,52.6,53.05,0
2015-07-31,UCOBANK,EQUITY,52.85,55.6,48.3,52.7,0
2015-08-31,UCOBANK,EQUITY,54.4,57.15,40.85,44.8,0
2015-09-30,UCOBANK,EQUITY,44.1,48.6,40.25,46.35,0
2015-10-31,UCOBANK,EQUITY,47.65,55.35,45.0,51.0,0
2015-11-30,UCOBANK,EQUITY,50.3,51.4,45.75,48.4,0
2015-12-31,UCOBANK,EQUITY,48.5,50.2,42.4,45.4,0
2016-01-31,UCOBANK,EQUITY,45.9,45.95,34.85,36.9,0
2016-02-29,UCOBANK,EQUITY,36.15,37.55,27.4,31.7,0
2016-03-31,UCOBANK,EQUITY,33.35,38.9,33.25,38.8,0
2016-04-30,UCOBANK,EQUITY,38.7,41.7,36.75,39.75,0
2016-05-31,UCOBANK,EQUITY,39.6,39.8,31.55,35.2,0
2016-06-30,UCOBANK,EQUITY,35.4,44.2,33.7,43.3,0
2016-07-31,UCOBANK,EQUITY,44.0,46.5,42.55,44.2,0
2016-08-31,UCOBANK,EQUITY,44.5,44.65,39.85,41.15,0
2016-09-30,UCOBANK,EQUITY,41.15,43.95,34.1,36.3,0
2016-10-31,UCOBANK,EQUITY,36.7,38.65,34.0,34.8,0
2016-11-30,UCOBANK,EQUITY,35.0,38.65,32.15,33.9,0
2016-12-31,UCOBANK,EQUITY,34.35,35.5,32.5,33.4,0
2017-01-31,UCOBANK,EQUITY,33.65,35.0,33.2,34.3,0
2017-02-28,UCOBANK,EQUITY,34.5,38.4,33.5,37.1,0
2017-03-31,UCOBANK,EQUITY,37.1,37.9,34.9,36.15,0
2017-04-30,UCOBANK,EQUITY,36.2,42.0,36.2,41.45,0
2017-05-31,UCOBANK,EQUITY,43.5,44.75,33.0,34.8,0
2017-06-30,UCOBANK,EQUITY,34.65,37.5,33.1,33.35,0
2017-07-31,UCOBANK,EQUITY,33.45,35.1,32.95,33.1,0
2017-08-31,UCOBANK,EQUITY,33.65,34.65,28.8,30.95,0
2017-09-30,UCOBANK,EQUITY,30.5,33.3,29.7,29.9,0
2017-10-31,UCOBANK,EQUITY,30.3,37.4,29.1,32.4,0
2017-11-30,UCOBANK,EQUITY,34.3,34.4,31.0,31.7,0
2017-12-31,UCOBANK,EQUITY,31.85,32.0,29.05,29.3,0
2018-01-31,UCOBANK,EQUITY,30.0,36.65,29.7,31.5,0
2018-02-28,UCOBANK,EQUITY,31.7,31.8,25.0,25.95,0
2018-03-31,UCOBANK,EQUITY,25.95,25.95,21.0,21.6,0
2018-04-30,UCOBANK,EQUITY,22.5,23.25,18.25,19.75,0
2018-05-31,UCOBANK,EQUITY,19.75,20.4,17.6,18.85,0
2018-06-30,UCOBANK,EQUITY,19.15,21.1,17.85,18.4,0
2018-07-31,UCOBANK,EQUITY,18.6,20.4,17.7,19.9,0
2018-08-31,UCOBANK,EQUITY,20.0,21.35,18.7,20.85,0
2018-09-30,UCOBANK,EQUITY,21.0,21.95,16.7,16.8,0
2018-10-31,UCOBANK,EQUITY,16.85,19.75,15.25,19.1,0
2018-11-30,UCOBANK,EQUITY,19.25,22.35,18.05,18.25,0
2018-12-31,UCOBANK,EQUITY,18.5,21.1,17.25,20.3,0
2019-01-31,UCOBANK,EQUITY,21.45,23.5,18.05,19.05,0
2019-02-28,UCOBANK,EQUITY,19.05,19.7,16.7,18.65,0
2019-03-31,UCOBANK,EQUITY,18.8,20.0,18.2,18.8,0
2019-04-30,UCOBANK,EQUITY,18.95,20.45,17.8,17.9,0
2019-05-31,UCOBANK,EQUITY,18.0,19.6,16.5,17.45,0
2019-06-30,UCOBANK,EQUITY,17.5,19.4,17.0,18.35,0
2019-07-31,UCOBANK,EQUITY,18.4,19.9,16.4,16.55,0
2019-08-31,UCOBANK,EQUITY,16.45,17.1,14.1,15.85,0
2019-09-30,UCOBANK,EQUITY,15.15,15.4,12.7,13.0,0
2019-10-31,UCOBANK,EQUITY,12.7,13.9,11.5,13.6,0
2019-11-30,UCOBANK,EQUITY,13.85,22.4,12.85,17.75,0
2019-12-31,UCOBANK,EQUITY,17.95,18.1,15.0,16.7,0
2020-01-31,UCOBANK,EQUITY,16.9,17.4,15.5,15.55,0
2020-02-29,UCOBANK,EQUITY,15.55,16.7,12.0,12.35,0
2020-03-31,UCOBANK,EQUITY,12.55,13.0,8.4,9.05,0
2020-04-30,UCOBANK,EQUITY,9.25,15.9,8.9,12.8,0
2020-05-31,UCOBANK,EQUITY,12.6,12.6,10.7,10.95,0
2020-06-30,UCOBANK,EQUITY,11.0,16.7,11.0,14.85,0
2020-07-31,UCOBANK,EQUITY,14.45,15.8,12.65,14.05,0
2020-08-31,UCOBANK,EQUITY,14.2,14.8,13.35,13.65,0
2020-09-30,UCOBANK,EQUITY,13.65,14.75,11.7,12.15,0
2020-10-31,UCOBANK,EQUITY,12.2,13.45,11.3,11.6,0
2020-11-30,UCOBANK,EQUITY,12.75,12.75,11.6,12.35,0
2020-12-31,UCOBANK,EQUITY,12.5,14.05,11.8,12.7,0
2021-01-31,UCOBANK,EQUITY,12.8,13.6,12.65,12.85,0
2021-02-28,UCOBANK,EQUITY,13.15,16.35,12.8,13.9,0
2021-03-31,UCOBANK,EQUITY,13.9,14.75,10.8,11.0,0
2021-04-30,UCOBANK,EQUITY,11.4,11.65,10.75,11.0,0
2021-05-31,UCOBANK,EQUITY,10.95,14.05,10.85,13.6,0
2021-06-30,UCOBANK,EQUITY,13.6,15.9,13.0,15.2,0
2021-07-31,UCOBANK,EQUITY,15.3,15.5,13.3,13.8,0
2021-08-31,UCOBANK,EQUITY,13.85,14.15,12.35,12.8,0
2021-09-30,UCOBANK,EQUITY,12.8,14.9,12.75,13.65,0
2021-10-31,UCOBANK,EQUITY,13.65,15.3,13.5,14.4,0
2021-11-30,UCOBANK,EQUITY,14.5,14.7,12.8,12.95,0
2021-12-31,UCOBANK,EQUITY,13.05,14.15,12.55,13.0,0
2022-01-31,UCOBANK,EQUITY,13.25,13.85,12.6,13.6,0
2022-02-28,UCOBANK,EQUITY,13.6,13.95,11.05,11.8,0
2022-03-31,UCOBANK,EQUITY,11.75,12.4,11.2,11.85,0
2022-04-30,UCOBANK,EQUITY,11.9,12.9,11.8,11.85,0
2022-05-31,UCOBANK,EQUITY,11.85,11.95,10.9,11.6,0
2022-06-30,UCOBANK,EQUITY,11.6,11.65,10.55,10.95,0
2022-07-31,UCOBANK,EQUITY,11.0,11.6,10.75,11.3,0
2022-08-31,UCOBANK,EQUITY,11.6,12.65,11.3,12.0,0
