DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-11-30,VBL,EQUITY,430.0,471.75,416.85,439.35,0
2016-12-31,VBL,EQUITY,435.15,439.9,351.0,380.55,0
2017-01-31,VBL,EQUITY,386.0,419.95,381.05,397.6,0
2017-02-28,VBL,EQUITY,397.6,407.3,380.15,390.3,0
2017-03-31,VBL,EQUITY,399.0,420.0,340.0,404.95,0
2017-04-30,VBL,EQUITY,404.4,499.0,404.0,470.35,0
2017-05-31,VBL,EQUITY,477.5,506.0,464.45,498.15,0
2017-06-30,VBL,EQUITY,495.35,561.05,486.3,534.85,0
2017-07-31,VBL,EQUITY,531.15,569.4,490.3,498.2,0
2017-08-31,VBL,EQUITY,500.0,573.4,490.3,523.65,0
2017-09-30,VBL,EQUITY,523.65,547.0,493.75,510.55,0
2017-10-31,VBL,EQUITY,510.0,524.95,491.0,503.2,0
2017-11-30,VBL,EQUITY,505.7,544.7,485.6,508.25,0
2017-12-31,VBL,EQUITY,510.8,664.0,492.55,653.25,0
2018-01-31,VBL,EQUITY,651.8,758.8,624.0,690.7,0
2018-02-28,VBL,EQUITY,690.95,726.0,626.15,649.1,0
2018-03-31,VBL,EQUITY,654.0,662.0,589.9,629.4,0
2018-04-30,VBL,EQUITY,649.9,680.0,626.15,654.05,0
2018-05-31,VBL,EQUITY,654.05,795.0,654.05,763.25,0
2018-06-30,VBL,EQUITY,784.0,789.95,710.0,753.6,0
2018-07-31,VBL,EQUITY,758.9,778.95,666.8,752.6,0
2018-08-31,VBL,EQUITY,757.9,839.8,722.1,819.3,0
2018-09-30,VBL,EQUITY,820.0,835.0,685.55,738.85,0
2018-10-31,VBL,EQUITY,724.2,845.05,715.0,815.65,0
2018-11-30,VBL,EQUITY,823.5,823.5,735.4,775.55,0
2018-12-31,VBL,EQUITY,789.8,797.25,682.8,784.4,0
2019-01-31,VBL,EQUITY,790.0,840.0,756.1,820.7,0
2019-02-28,VBL,EQUITY,824.2,848.0,735.05,809.1,0
2019-03-31,VBL,EQUITY,810.0,877.0,794.5,866.65,0
2019-04-30,VBL,EQUITY,872.85,927.9,812.55,875.75,0
2019-05-31,VBL,EQUITY,880.0,961.95,875.9,933.0,0
2019-06-30,VBL,EQUITY,939.0,954.95,792.15,946.8,0
2019-07-31,VBL,EQUITY,952.0,971.0,592.0,638.9,0
2019-08-31,VBL,EQUITY,642.85,659.95,590.5,646.25,0
2019-09-30,VBL,EQUITY,648.75,663.05,586.0,624.1,0
2019-10-31,VBL,EQUITY,628.95,647.85,589.2,620.15,0
2019-11-30,VBL,EQUITY,624.0,789.0,615.0,723.2,0
2019-12-31,VBL,EQUITY,733.0,754.9,689.4,708.6,0
2020-01-31,VBL,EQUITY,706.0,870.0,684.75,767.1,0
2020-02-29,VBL,EQUITY,760.0,859.0,759.95,813.1,0
