DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-05-31,VEDL,EQUITY,220.0,233.4,190.5,196.45,0
2015-06-30,VEDL,EQUITY,198.0,201.65,169.5,174.15,0
2015-07-31,VEDL,EQUITY,174.1,177.5,126.3,130.25,0
2015-08-31,VEDL,EQUITY,126.5,131.4,76.7,98.65,0
2015-09-30,VEDL,EQUITY,96.5,102.5,83.35,84.7,0
2015-10-31,VEDL,EQUITY,85.5,119.1,84.25,99.95,0
2015-11-30,VEDL,EQUITY,100.3,100.9,85.8,89.95,0
2015-12-31,VEDL,EQUITY,91.85,96.4,81.25,90.4,0
2016-01-31,VEDL,EQUITY,90.9,93.5,62.0,71.75,0
2016-02-29,VEDL,EQUITY,70.5,77.7,58.15,70.6,0
2016-03-31,VEDL,EQUITY,77.0,98.2,76.55,89.85,0
2016-04-30,VEDL,EQUITY,89.75,108.9,84.8,103.8,0
2016-05-31,VEDL,EQUITY,102.5,111.6,94.05,108.55,0
2016-06-30,VEDL,EQUITY,109.0,133.0,103.45,131.95,0
2016-07-31,VEDL,EQUITY,132.95,175.5,132.45,164.65,0
2016-08-31,VEDL,EQUITY,163.1,180.65,153.7,170.0,0
2016-09-30,VEDL,EQUITY,170.65,177.9,158.5,172.05,0
2016-10-31,VEDL,EQUITY,173.85,208.55,173.2,202.6,0
2016-11-30,VEDL,EQUITY,204.95,233.5,192.2,229.85,0
2016-12-31,VEDL,EQUITY,233.05,248.65,204.8,216.15,0
2017-01-31,VEDL,EQUITY,216.45,261.8,214.5,253.1,0
2017-02-28,VEDL,EQUITY,254.9,274.6,242.85,259.1,0
2017-03-31,VEDL,EQUITY,261.0,278.1,247.25,274.95,0
2017-04-30,VEDL,EQUITY,273.3,274.7,226.5,243.55,0
2017-05-31,VEDL,EQUITY,240.0,247.7,217.75,238.65,0
2017-06-30,VEDL,EQUITY,239.85,252.65,226.5,249.05,0
2017-07-31,VEDL,EQUITY,251.0,283.7,250.4,279.85,0
2017-08-31,VEDL,EQUITY,281.1,310.25,276.6,308.9,0
2017-09-30,VEDL,EQUITY,310.05,333.7,297.0,314.25,0
2017-10-31,VEDL,EQUITY,318.1,345.2,310.15,331.85,0
2017-11-30,VEDL,EQUITY,334.75,344.95,294.0,295.45,0
2017-12-31,VEDL,EQUITY,297.45,335.5,277.65,329.9,0
2018-01-31,VEDL,EQUITY,331.0,355.7,318.7,340.35,0
2018-02-28,VEDL,EQUITY,340.0,346.2,305.15,329.75,0
2018-03-31,VEDL,EQUITY,327.2,333.65,268.75,277.85,0
2018-04-30,VEDL,EQUITY,284.45,313.5,271.5,298.4,0
2018-05-31,VEDL,EQUITY,296.65,296.65,237.9,248.3,0
2018-06-30,VEDL,EQUITY,248.75,256.5,221.6,236.2,0
2018-07-31,VEDL,EQUITY,234.75,243.8,200.65,222.2,0
2018-08-31,VEDL,EQUITY,219.8,238.25,205.35,227.7,0
2018-09-30,VEDL,EQUITY,228.9,246.8,218.0,232.3,0
2018-10-31,VEDL,EQUITY,230.0,244.3,198.25,211.15,0
2018-11-30,VEDL,EQUITY,213.0,227.75,190.2,195.85,0
2018-12-31,VEDL,EQUITY,201.5,213.3,190.05,202.2,0
2019-01-31,VEDL,EQUITY,202.5,202.85,186.65,197.35,0
2019-02-28,VEDL,EQUITY,179.65,180.0,145.8,169.4,0
2019-03-31,VEDL,EQUITY,172.45,185.4,167.75,184.45,0
2019-04-30,VEDL,EQUITY,187.4,193.4,163.5,166.85,0
2019-05-31,VEDL,EQUITY,165.9,171.7,152.8,160.55,0
2019-06-30,VEDL,EQUITY,160.45,180.0,159.3,174.35,0
2019-07-31,VEDL,EQUITY,177.0,177.15,148.1,154.1,0
2019-08-31,VEDL,EQUITY,152.2,152.4,125.3,139.15,0
2019-09-30,VEDL,EQUITY,135.0,167.0,132.5,154.15,0
2019-10-31,VEDL,EQUITY,154.4,156.1,140.5,148.35,0
2019-11-30,VEDL,EQUITY,148.45,163.0,138.7,144.6,0
2019-12-31,VEDL,EQUITY,144.6,155.5,136.7,152.45,0
2020-01-31,VEDL,EQUITY,152.8,166.1,137.5,137.9,0
2020-02-29,VEDL,EQUITY,134.35,146.8,112.1,114.0,0
2020-03-31,VEDL,EQUITY,117.55,121.0,60.2,64.7,0
2020-04-30,VEDL,EQUITY,64.0,91.0,62.2,89.55,0
2020-05-31,VEDL,EQUITY,81.8,97.95,77.05,92.2,0
2020-06-30,VEDL,EQUITY,93.3,113.5,92.75,106.4,0
2020-07-31,VEDL,EQUITY,106.4,117.9,105.8,113.8,0
2020-08-31,VEDL,EQUITY,116.05,134.65,114.85,128.65,0
2020-09-30,VEDL,EQUITY,128.8,141.5,122.6,136.9,0
2020-10-31,VEDL,EQUITY,137.6,139.25,92.15,95.75,0
2020-11-30,VEDL,EQUITY,95.75,122.85,91.65,120.75,0
2020-12-31,VEDL,EQUITY,122.15,170.7,122.0,161.4,0
2021-01-31,VEDL,EQUITY,161.8,187.35,160.0,161.25,0
2021-02-28,VEDL,EQUITY,173.05,214.7,171.7,207.3,0
2021-03-31,VEDL,EQUITY,215.75,231.7,210.5,228.75,0
2021-04-30,VEDL,EQUITY,229.25,266.2,212.1,257.25,0
2021-05-31,VEDL,EQUITY,255.4,296.3,251.0,274.2,0
2021-06-30,VEDL,EQUITY,276.5,282.75,242.5,262.85,0
2021-07-31,VEDL,EQUITY,264.2,306.35,255.0,301.85,0
2021-08-31,VEDL,EQUITY,303.1,341.45,261.0,302.8,0
2021-09-30,VEDL,EQUITY,305.0,317.25,282.95,287.65,0
2021-10-31,VEDL,EQUITY,299.7,385.9,289.0,304.0,0
2021-11-30,VEDL,EQUITY,312.0,373.2,290.3,338.85,0
2021-12-31,VEDL,EQUITY,344.0,361.65,315.65,341.2,0
2022-01-31,VEDL,EQUITY,357.1,357.4,307.2,321.75,0
2022-02-28,VEDL,EQUITY,339.0,384.45,329.15,380.3,0
2022-03-31,VEDL,EQUITY,384.0,417.85,353.8,403.35,0
2022-04-30,VEDL,EQUITY,405.3,440.75,397.05,408.35,0
2022-05-31,VEDL,EQUITY,412.0,412.0,279.55,320.9,0
2022-06-30,VEDL,EQUITY,320.5,325.0,216.1,223.0,0
2022-07-31,VEDL,EQUITY,221.1,261.45,206.0,254.3,0
2022-08-31,VEDL,EQUITY,255.0,275.0,245.75,270.25,0
2022-09-30,VEDL,EQUITY,265.4,320.9,255.2,270.05,0
2022-10-31,VEDL,EQUITY,271.0,305.5,265.6,280.8,0
2022-11-30,VEDL,EQUITY,281.55,324.6,281.0,304.35,0
2022-12-31,VEDL,EQUITY,306.0,322.2,281.8,308.4,0
2023-01-31,VEDL,EQUITY,309.95,340.75,308.6,332.4,0
2023-02-28,VEDL,EQUITY,337.0,338.25,261.95,268.35,0
2023-03-31,VEDL,EQUITY,267.05,290.9,266.15,274.45,0
2023-04-30,VEDL,EQUITY,284.0,287.25,269.1,279.35,0
2023-05-31,VEDL,EQUITY,278.55,300.95,268.5,278.3,0
2023-06-30,VEDL,EQUITY,278.0,284.35,274.3,277.95,0
2023-07-31,VEDL,EQUITY,279.0,286.4,270.3,276.0,0
2023-08-31,VEDL,EQUITY,277.25,277.4,231.6,232.3,0
2023-09-30,VEDL,EQUITY,232.3,246.55,208.0,222.55,0
2023-10-31,VEDL,EQUITY,230.0,233.75,211.2,216.6,0
2023-11-30,VEDL,EQUITY,217.0,246.0,216.3,233.35,0
2023-12-31,VEDL,EQUITY,234.8,266.4,233.55,258.55,0
2024-01-31,VEDL,EQUITY,258.55,278.05,250.65,273.85,0
2024-02-29,VEDL,EQUITY,275.45,285.85,260.7,268.05,0
2024-03-31,VEDL,EQUITY,265.1,289.25,249.5,271.65,0
2024-04-30,VEDL,EQUITY,273.5,409.95,273.35,397.85,0
2024-05-31,VEDL,EQUITY,400.0,506.75,397.3,450.0,0
2024-06-30,VEDL,EQUITY,472.0,479.0,401.65,454.0,0
2024-07-31,VEDL,EQUITY,467.0,513.8,410.55,450.75,0
2024-08-31,VEDL,EQUITY,475.9,477.5,405.2,468.45,0
2024-09-30,VEDL,EQUITY,460.95,523.65,437.0,512.65,0
2024-10-31,VEDL,EQUITY,466.0,507.05,436.95,464.05,0
2024-11-30,VEDL,EQUITY,457.0,525.0,430.25,453.5,0
2024-12-31,VEDL,EQUITY,430.05,526.95,428.8,444.45,0
2025-01-31,VEDL,EQUITY,444.75,470.25,412.0,441.4,0
2025-02-28,VEDL,EQUITY,454.0,539.9,392.35,394.75,0
2025-03-31,VEDL,EQUITY,399.95,541.05,389.2,463.4,0
2025-04-30,VEDL,EQUITY,428.7,517.6,384.05,419.2,0
2025-05-31,VEDL,EQUITY,438.95,531.45,415.0,435.55,0
2025-06-30,VEDL,EQUITY,445.1,514.4,409.3,460.85,0
2025-07-31,VEDL,EQUITY,443.0,517.25,363.0,425.65,0
2025-08-31,VEDL,EQUITY,448.25,527.3,368.15,420.65,0
2025-09-30,VEDL,EQUITY,447.0,517.6,368.6,465.8,0
2025-10-31,VEDL,EQUITY,438.9,524.4,426.4,493.55,0
2025-11-30,VEDL,EQUITY,428.5,535.5,378.05,526.0,0
2025-12-31,VEDL,EQUITY,421.45,616.0,412.25,604.4,0
2026-01-31,VEDL,EQUITY,603.0,769.8,595.0,681.55,0
2026-02-28,VEDL,EQUITY,678.5,738.35,676.0,718.4,0
2026-03-31,VEDL,EQUITY,695.0,743.5,634.25,649.4,0
