DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,VGUARD,EQUITY,1175.0,1192.0,972.55,999.9,0
2015-02-28,VGUARD,EQUITY,1000.0,1014.95,920.0,945.65,0
2015-03-31,VGUARD,EQUITY,946.0,965.0,890.45,913.3,0
2015-04-30,VGUARD,EQUITY,940.0,1029.0,930.05,999.1,0
2015-05-31,VGUARD,EQUITY,988.0,994.25,915.7,936.55,0
2015-06-30,VGUARD,EQUITY,930.0,953.95,855.0,895.7,0
2015-07-31,VGUARD,EQUITY,893.0,967.0,869.0,953.1,0
2015-08-31,VGUARD,EQUITY,981.0,1024.95,800.0,899.45,0
2015-09-30,VGUARD,EQUITY,894.0,1051.0,868.0,902.1,0
2015-10-31,VGUARD,EQUITY,917.85,959.75,894.65,897.45,0
2015-11-30,VGUARD,EQUITY,916.15,944.95,860.1,924.9,0
2015-12-31,VGUARD,EQUITY,932.65,951.0,852.8,944.8,0
2016-01-31,VGUARD,EQUITY,942.05,948.0,840.2,892.3,0
2016-02-29,VGUARD,EQUITY,902.05,930.0,780.0,797.85,0
2016-03-31,VGUARD,EQUITY,829.95,885.0,824.0,880.45,0
2016-04-30,VGUARD,EQUITY,860.3,1005.0,860.3,947.75,0
2016-05-31,VGUARD,EQUITY,947.0,1295.0,930.0,1267.85,0
2016-06-30,VGUARD,EQUITY,1284.0,1470.0,1272.4,1407.55,0
2016-07-31,VGUARD,EQUITY,1420.0,1639.0,1370.05,1592.05,0
2016-08-31,VGUARD,EQUITY,1619.0,1847.7,178.2,190.35,0
2016-09-30,VGUARD,EQUITY,189.5,193.5,170.0,183.7,0
2016-10-31,VGUARD,EQUITY,185.0,226.4,178.5,209.2,0
2016-11-30,VGUARD,EQUITY,210.75,221.0,166.35,171.8,0
2016-12-31,VGUARD,EQUITY,172.05,177.9,152.1,162.3,0
2017-01-31,VGUARD,EQUITY,163.15,207.8,161.25,205.1,0
2017-02-28,VGUARD,EQUITY,207.9,235.75,202.0,226.8,0
2017-03-31,VGUARD,EQUITY,232.0,260.75,162.0,173.4,0
2017-04-30,VGUARD,EQUITY,175.4,192.0,173.5,190.4,0
2017-05-31,VGUARD,EQUITY,189.0,220.85,172.3,181.85,0
2017-06-30,VGUARD,EQUITY,181.9,194.0,171.0,172.55,0
2017-07-31,VGUARD,EQUITY,172.55,197.6,172.15,178.15,0
2017-08-31,VGUARD,EQUITY,181.9,188.35,165.0,186.15,0
2017-09-30,VGUARD,EQUITY,186.0,204.9,177.05,182.3,0
2017-10-31,VGUARD,EQUITY,183.5,221.85,183.15,214.75,0
2017-11-30,VGUARD,EQUITY,215.5,240.65,214.4,229.45,0
2017-12-31,VGUARD,EQUITY,229.5,245.0,219.55,243.8,0
2018-01-31,VGUARD,EQUITY,245.4,250.0,223.1,233.55,0
2018-02-28,VGUARD,EQUITY,234.5,247.0,203.2,242.3,0
2018-03-31,VGUARD,EQUITY,242.5,245.25,217.05,222.2,0
