DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,WHIRLPOOL,EQUITY,654.0,751.0,635.0,674.1,0
2015-02-28,WHIRLPOOL,EQUITY,676.0,722.8,655.0,676.7,0
2015-03-31,WHIRLPOOL,EQUITY,685.0,780.0,668.4,735.45,0
2015-04-30,WHIRLPOOL,EQUITY,732.55,810.05,686.7,700.3,0
2015-05-31,WHIRLPOOL,EQUITY,717.55,781.9,656.55,757.5,0
2015-06-30,WHIRLPOOL,EQUITY,762.0,783.0,696.0,743.75,0
2015-07-31,WHIRLPOOL,EQUITY,742.0,847.0,701.2,746.2,0
2015-08-31,WHIRLPOOL,EQUITY,751.25,784.95,660.25,682.2,0
2015-09-30,WHIRLPOOL,EQUITY,678.05,686.9,604.0,655.35,0
2015-10-31,WHIRLPOOL,EQUITY,711.0,714.7,632.8,638.3,0
2015-11-30,WHIRLPOOL,EQUITY,639.7,709.0,610.0,689.8,0
2015-12-31,WHIRLPOOL,EQUITY,689.0,696.0,641.2,649.25,0
2016-01-31,WHIRLPOOL,EQUITY,655.0,685.0,575.0,589.65,0
2016-02-29,WHIRLPOOL,EQUITY,655.0,678.55,555.55,597.6,0
2016-03-31,WHIRLPOOL,EQUITY,633.65,721.3,620.95,702.65,0
2016-04-30,WHIRLPOOL,EQUITY,705.0,788.8,689.95,747.0,0
2016-05-31,WHIRLPOOL,EQUITY,747.6,787.1,703.45,758.4,0
2016-06-30,WHIRLPOOL,EQUITY,762.95,834.9,755.0,830.4,0
2016-07-31,WHIRLPOOL,EQUITY,830.0,888.8,815.0,845.5,0
2016-08-31,WHIRLPOOL,EQUITY,842.5,988.0,841.0,918.65,0
2016-09-30,WHIRLPOOL,EQUITY,948.5,1089.65,917.05,1017.3,0
2016-10-31,WHIRLPOOL,EQUITY,1032.65,1197.9,1001.0,1124.85,0
2016-11-30,WHIRLPOOL,EQUITY,1173.9,1173.9,857.0,1006.0,0
2016-12-31,WHIRLPOOL,EQUITY,1021.95,1039.0,838.95,889.05,0
2017-01-31,WHIRLPOOL,EQUITY,899.0,990.0,881.5,950.35,0
2017-02-28,WHIRLPOOL,EQUITY,947.0,1074.8,945.35,1036.75,0
2017-03-31,WHIRLPOOL,EQUITY,1042.95,1288.5,1008.5,1221.7,0
2017-04-30,WHIRLPOOL,EQUITY,1248.0,1249.0,1183.05,1210.7,0
2017-05-31,WHIRLPOOL,EQUITY,1238.0,1258.0,1117.0,1174.75,0
2017-06-30,WHIRLPOOL,EQUITY,1191.95,1199.0,1092.15,1138.35,0
2017-07-31,WHIRLPOOL,EQUITY,1143.5,1205.8,1116.6,1170.65,0
2017-08-31,WHIRLPOOL,EQUITY,1165.0,1207.75,1122.0,1182.1,0
2017-09-30,WHIRLPOOL,EQUITY,1175.0,1348.0,1173.5,1282.75,0
2017-10-31,WHIRLPOOL,EQUITY,1291.0,1450.0,1271.95,1377.7,0
2017-11-30,WHIRLPOOL,EQUITY,1371.05,1585.9,1292.05,1557.65,0
2017-12-31,WHIRLPOOL,EQUITY,1567.0,1622.0,1470.0,1592.7,0
2018-01-31,WHIRLPOOL,EQUITY,1640.0,1658.0,1440.0,1476.85,0
2018-02-28,WHIRLPOOL,EQUITY,1485.0,1530.0,1313.95,1432.5,0
2018-03-31,WHIRLPOOL,EQUITY,1440.0,1614.5,1421.25,1510.25,0
2018-04-30,WHIRLPOOL,EQUITY,1534.9,1610.0,1506.25,1579.45,0
2018-05-31,WHIRLPOOL,EQUITY,1606.0,1606.0,1507.1,1541.05,0
2018-06-30,WHIRLPOOL,EQUITY,1578.0,1602.0,1480.0,1532.55,0
2018-07-31,WHIRLPOOL,EQUITY,1565.0,1755.0,1496.0,1738.7,0
2018-08-31,WHIRLPOOL,EQUITY,1745.8,1820.0,1682.9,1773.6,0
2018-09-30,WHIRLPOOL,EQUITY,1786.9,1954.7,1277.3,1349.5,0
2018-10-31,WHIRLPOOL,EQUITY,1340.0,1544.0,1263.8,1396.75,0
2018-11-30,WHIRLPOOL,EQUITY,1396.0,1494.4,1337.05,1398.9,0
2018-12-31,WHIRLPOOL,EQUITY,1413.0,1438.5,1270.0,1390.55,0
2019-01-31,WHIRLPOOL,EQUITY,1419.75,1515.75,1369.4,1509.7,0
2019-02-28,WHIRLPOOL,EQUITY,1494.0,1565.0,1289.0,1373.55,0
2019-03-31,WHIRLPOOL,EQUITY,1368.0,1633.3,1367.0,1515.1,0
2019-04-30,WHIRLPOOL,EQUITY,1529.95,1549.8,1375.0,1392.7,0
2019-05-31,WHIRLPOOL,EQUITY,1395.0,1503.0,1325.0,1466.9,0
2019-06-30,WHIRLPOOL,EQUITY,1456.0,1594.0,1447.15,1590.05,0
2019-07-31,WHIRLPOOL,EQUITY,1597.95,1666.6,1447.2,1554.45,0
2019-08-31,WHIRLPOOL,EQUITY,1554.45,1560.6,1481.0,1547.4,0
2019-09-30,WHIRLPOOL,EQUITY,1619.85,1976.0,1592.45,1887.45,0
2019-10-31,WHIRLPOOL,EQUITY,1887.45,2224.95,1879.95,2194.45,0
2019-11-30,WHIRLPOOL,EQUITY,2208.1,2339.35,1990.0,2142.35,0
2019-12-31,WHIRLPOOL,EQUITY,2155.65,2498.0,2105.0,2373.5,0
2020-01-31,WHIRLPOOL,EQUITY,2386.0,2510.4,2225.9,2473.25,0
2020-02-29,WHIRLPOOL,EQUITY,2390.0,2555.0,2150.0,2179.05,0
2020-03-31,WHIRLPOOL,EQUITY,2200.0,2256.0,1343.8,1818.9,0
2020-04-30,WHIRLPOOL,EQUITY,1799.95,2133.0,1715.7,2059.25,0
2020-05-31,WHIRLPOOL,EQUITY,1997.0,2042.8,1800.0,1944.65,0
2020-06-30,WHIRLPOOL,EQUITY,1970.0,2135.05,1961.0,2074.8,0
2020-07-31,WHIRLPOOL,EQUITY,2052.0,2291.0,2041.0,2073.0,0
2020-08-31,WHIRLPOOL,EQUITY,2137.0,2289.0,1980.1,2121.35,0
2020-09-30,WHIRLPOOL,EQUITY,2111.0,2250.0,1987.6,2196.75,0
2020-10-31,WHIRLPOOL,EQUITY,2211.0,2220.15,2030.0,2120.5,0
2020-11-30,WHIRLPOOL,EQUITY,2130.0,2262.4,2031.0,2183.3,0
2020-12-31,WHIRLPOOL,EQUITY,2198.85,2674.7,2072.0,2629.0,0
2021-01-31,WHIRLPOOL,EQUITY,2604.0,2787.0,2363.15,2553.05,0
2021-02-28,WHIRLPOOL,EQUITY,2590.0,2662.0,2251.95,2412.25,0
2021-03-31,WHIRLPOOL,EQUITY,2460.0,2474.95,2146.0,2226.6,0
2021-04-30,WHIRLPOOL,EQUITY,2239.4,2262.55,2086.05,2221.45,0
2021-05-31,WHIRLPOOL,EQUITY,2200.0,2243.0,2067.3,2162.4,0
2021-06-30,WHIRLPOOL,EQUITY,2166.0,2418.7,2126.1,2235.5,0
2021-07-31,WHIRLPOOL,EQUITY,2235.5,2313.15,2080.0,2202.95,0
2021-08-31,WHIRLPOOL,EQUITY,2208.0,2219.9,1971.15,2130.2,0
2021-09-30,WHIRLPOOL,EQUITY,2139.0,2369.6,2110.0,2284.95,0
2021-10-31,WHIRLPOOL,EQUITY,2263.2,2550.0,2138.1,2212.3,0
2021-11-30,WHIRLPOOL,EQUITY,2215.0,2387.0,1986.6,2041.8,0
2021-12-31,WHIRLPOOL,EQUITY,2039.0,2068.9,1712.0,1761.75,0
2022-01-31,WHIRLPOOL,EQUITY,1775.25,1917.0,1740.0,1850.9,0
2022-02-28,WHIRLPOOL,EQUITY,1834.0,1855.95,1576.0,1672.75,0
2022-03-31,WHIRLPOOL,EQUITY,1655.0,1702.75,1532.1,1572.85,0
2022-04-30,WHIRLPOOL,EQUITY,1580.0,1722.0,1570.0,1623.55,0
2022-05-31,WHIRLPOOL,EQUITY,1670.0,1670.0,1365.1,1641.25,0
2022-06-30,WHIRLPOOL,EQUITY,1645.0,1662.0,1401.0,1560.85,0
2022-07-31,WHIRLPOOL,EQUITY,1552.0,1799.0,1538.5,1773.4,0
2022-08-31,WHIRLPOOL,EQUITY,1779.05,1905.0,1750.05,1824.15,0
