DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,WOCKPHARMA,EQUITY,1012.0,1215.0,969.25,1207.9,0
2015-02-28,WOCKPHARMA,EQUITY,1190.3,1616.25,1175.1,1584.35,0
2015-03-31,WOCKPHARMA,EQUITY,1590.0,1980.0,1461.05,1866.8,0
2015-04-30,WOCKPHARMA,EQUITY,1885.0,2000.0,1177.05,1287.9,0
2015-05-31,WOCKPHARMA,EQUITY,1424.0,1594.0,1240.3,1446.0,0
2015-06-30,WOCKPHARMA,EQUITY,1454.4,1499.0,1286.0,1416.05,0
2015-07-31,WOCKPHARMA,EQUITY,1430.0,1574.0,1412.9,1564.0,0
2015-08-31,WOCKPHARMA,EQUITY,1574.95,1744.95,1190.0,1342.35,0
2015-09-30,WOCKPHARMA,EQUITY,1324.0,1541.05,1165.1,1525.75,0
2015-10-31,WOCKPHARMA,EQUITY,1568.8,1640.0,1410.0,1496.9,0
2015-11-30,WOCKPHARMA,EQUITY,1495.0,1676.5,1430.55,1659.7,0
2015-12-31,WOCKPHARMA,EQUITY,1665.0,1745.0,1522.0,1528.7,0
2016-01-31,WOCKPHARMA,EQUITY,1537.8,1646.85,1110.55,1273.45,0
2016-02-29,WOCKPHARMA,EQUITY,1240.0,1255.95,705.75,760.15,0
2016-03-31,WOCKPHARMA,EQUITY,815.55,1012.7,812.0,973.95,0
2016-04-30,WOCKPHARMA,EQUITY,978.0,1069.0,943.0,992.05,0
2016-05-31,WOCKPHARMA,EQUITY,992.4,1026.95,858.65,916.95,0
2016-06-30,WOCKPHARMA,EQUITY,920.0,961.8,822.0,933.9,0
2016-07-31,WOCKPHARMA,EQUITY,937.8,1129.05,911.0,1008.6,0
2016-08-31,WOCKPHARMA,EQUITY,1011.0,1037.0,766.0,817.65,0
2016-09-30,WOCKPHARMA,EQUITY,813.0,958.95,805.5,878.35,0
2016-10-31,WOCKPHARMA,EQUITY,889.9,924.95,850.1,868.85,0
