DATE,SYMBOL,TYPE,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-01-31,YESBANK,EQUITY,769.0,895.0,751.35,862.45,0
2015-02-28,YESBANK,EQUITY,858.95,858.95,780.1,820.8,0
2015-03-31,YESBANK,EQUITY,875.0,888.5,783.2,815.75,0
2015-04-30,YESBANK,EQUITY,850.05,864.0,771.8,839.45,0
2015-05-31,YESBANK,EQUITY,852.0,884.35,803.45,882.3,0
2015-06-30,YESBANK,EQUITY,884.9,897.5,796.1,843.85,0
2015-07-31,YESBANK,EQUITY,843.9,877.9,782.25,828.95,0
2015-08-31,YESBANK,EQUITY,831.5,846.45,595.0,689.45,0
2015-09-30,YESBANK,EQUITY,679.9,779.0,635.0,729.7,0
2015-10-31,YESBANK,EQUITY,752.4,780.0,707.75,758.65,0
2015-11-30,YESBANK,EQUITY,755.2,781.5,720.2,768.2,0
2015-12-31,YESBANK,EQUITY,770.0,772.0,668.0,725.8,0
2016-01-31,YESBANK,EQUITY,727.65,749.5,631.55,746.8,0
2016-02-29,YESBANK,EQUITY,772.4,789.5,663.35,689.0,0
2016-03-31,YESBANK,EQUITY,731.0,875.0,730.5,865.05,0
2016-04-30,YESBANK,EQUITY,863.0,952.45,826.5,942.95,0
2016-05-31,YESBANK,EQUITY,947.9,1046.0,905.65,1033.0,0
2016-06-30,YESBANK,EQUITY,1031.5,1115.0,1005.55,1107.1,0
2016-07-31,YESBANK,EQUITY,1112.65,1236.0,1106.55,1216.95,0
2016-08-31,YESBANK,EQUITY,1224.0,1382.3,1203.55,1366.1,0
2016-09-30,YESBANK,EQUITY,1365.0,1449.0,1155.8,1254.7,0
2016-10-31,YESBANK,EQUITY,1275.0,1327.95,1231.5,1272.3,0
2016-11-30,YESBANK,EQUITY,1273.45,1286.0,1095.15,1173.85,0
2016-12-31,YESBANK,EQUITY,1175.7,1225.0,1090.55,1156.45,0
2017-01-31,YESBANK,EQUITY,1160.6,1421.5,1131.3,1396.0,0
2017-02-28,YESBANK,EQUITY,1403.0,1471.8,1377.55,1452.7,0
2017-03-31,YESBANK,EQUITY,1459.7,1557.5,1419.15,1546.75,0
2017-04-30,YESBANK,EQUITY,1555.0,1651.9,1520.6,1630.25,0
2017-05-31,YESBANK,EQUITY,1632.55,1640.0,1376.25,1431.35,0
2017-06-30,YESBANK,EQUITY,1430.0,1532.45,1401.5,1463.5,0
2017-07-31,YESBANK,EQUITY,1469.8,1861.0,1452.0,1809.5,0
2017-08-31,YESBANK,EQUITY,1830.0,1842.95,1686.0,1753.05,0
2017-09-30,YESBANK,EQUITY,1753.35,1886.0,345.1,350.0,0
2017-10-31,YESBANK,EQUITY,354.9,375.9,298.55,314.25,0
2017-11-30,YESBANK,EQUITY,317.0,323.0,295.6,306.9,0
2017-12-31,YESBANK,EQUITY,307.8,318.95,300.6,315.15,0
2018-01-31,YESBANK,EQUITY,315.5,366.3,307.15,354.4,0
2018-02-28,YESBANK,EQUITY,355.0,367.25,304.5,322.3,0
2018-03-31,YESBANK,EQUITY,322.1,326.0,285.0,304.85,0
2018-04-30,YESBANK,EQUITY,313.0,369.0,304.0,362.0,0
2018-05-31,YESBANK,EQUITY,361.95,364.7,325.6,346.2,0
2018-06-30,YESBANK,EQUITY,343.9,350.9,327.3,339.65,0
2018-07-31,YESBANK,EQUITY,338.05,394.35,332.35,367.95,0
2018-08-31,YESBANK,EQUITY,369.9,404.0,336.25,343.5,0
2018-09-30,YESBANK,EQUITY,347.95,348.0,165.0,183.65,0
2018-10-31,YESBANK,EQUITY,180.0,254.85,168.6,188.1,0
2018-11-30,YESBANK,EQUITY,192.0,230.85,146.75,169.8,0
2018-12-31,YESBANK,EQUITY,174.0,193.2,160.0,181.8,0
2019-01-31,YESBANK,EQUITY,182.6,245.0,181.0,194.1,0
2019-02-28,YESBANK,EQUITY,195.9,236.8,168.1,231.15,0
2019-03-31,YESBANK,EQUITY,234.9,281.5,228.65,275.1,0
2019-04-30,YESBANK,EQUITY,276.0,282.05,165.6,168.0,0
2019-05-31,YESBANK,EQUITY,162.0,178.0,132.45,147.8,0
2019-06-30,YESBANK,EQUITY,148.0,151.2,98.7,108.75,0
2019-07-31,YESBANK,EQUITY,109.5,110.5,79.15,91.2,0
2019-08-31,YESBANK,EQUITY,88.95,92.0,53.2,59.95,0
2019-09-30,YESBANK,EQUITY,58.35,72.2,40.95,41.4,0
2019-10-31,YESBANK,EQUITY,42.0,78.7,29.0,70.4,0
2019-11-30,YESBANK,EQUITY,71.0,75.3,56.65,68.3,0
2019-12-31,YESBANK,EQUITY,69.0,69.3,42.8,46.95,0
2020-01-31,YESBANK,EQUITY,46.95,48.5,36.55,39.25,0
2020-02-29,YESBANK,EQUITY,37.95,40.2,33.6,34.6,0
2020-03-31,YESBANK,EQUITY,35.2,87.3,5.65,22.45,0
2020-04-30,YESBANK,EQUITY,24.5,30.45,22.8,27.9,0
2020-05-31,YESBANK,EQUITY,27.4,29.45,25.0,26.85,0
2020-06-30,YESBANK,EQUITY,27.55,32.0,25.5,25.6,0
2020-07-31,YESBANK,EQUITY,25.75,28.35,11.1,11.95,0
2020-08-31,YESBANK,EQUITY,12.3,17.05,12.15,14.35,0
2020-09-30,YESBANK,EQUITY,14.35,15.25,12.75,13.15,0
2020-10-31,YESBANK,EQUITY,13.3,13.95,12.15,12.4,0
2020-11-30,YESBANK,EQUITY,12.45,14.9,12.2,14.7,0
2020-12-31,YESBANK,EQUITY,15.7,20.75,14.85,17.85,0
2021-01-31,YESBANK,EQUITY,17.85,18.6,15.0,15.75,0
2021-02-28,YESBANK,EQUITY,16.55,17.3,15.5,15.75,0
2021-03-31,YESBANK,EQUITY,16.5,16.9,14.0,15.6,0
2021-04-30,YESBANK,EQUITY,15.65,15.95,13.9,14.55,0
2021-05-31,YESBANK,EQUITY,12.85,14.15,12.85,13.5,0
2021-06-30,YESBANK,EQUITY,13.5,15.55,13.3,13.55,0
2021-07-31,YESBANK,EQUITY,13.55,14.1,12.7,12.75,0
2021-08-31,YESBANK,EQUITY,12.85,12.95,10.5,10.8,0
2021-09-30,YESBANK,EQUITY,11.15,15.05,10.8,12.55,0
2021-10-31,YESBANK,EQUITY,13.1,14.65,12.55,12.8,0
2021-11-30,YESBANK,EQUITY,12.85,13.6,12.1,12.4,0
2021-12-31,YESBANK,EQUITY,12.25,14.95,12.15,13.7,0
2022-01-31,YESBANK,EQUITY,14.1,14.65,13.2,13.3,0
2022-02-28,YESBANK,EQUITY,13.5,14.35,12.5,13.25,0
2022-03-31,YESBANK,EQUITY,13.2,13.45,12.1,12.3,0
2022-04-30,YESBANK,EQUITY,12.25,16.25,12.25,13.65,0
2022-05-31,YESBANK,EQUITY,13.9,14.3,12.45,13.15,0
2022-06-30,YESBANK,EQUITY,13.15,13.35,12.25,12.65,0
2022-07-31,YESBANK,EQUITY,12.65,15.3,12.55,14.95,0
2022-08-31,YESBANK,EQUITY,15.4,17.9,15.15,16.45,0
2022-09-30,YESBANK,EQUITY,16.45,18.2,15.35,15.65,0
2022-10-31,YESBANK,EQUITY,15.65,16.85,15.3,15.55,0
2022-11-30,YESBANK,EQUITY,15.6,17.55,15.25,17.15,0
2022-12-31,YESBANK,EQUITY,17.2,24.75,17.0,20.6,0
2023-01-31,YESBANK,EQUITY,20.85,22.25,16.75,17.25,0
2023-02-28,YESBANK,EQUITY,17.3,17.65,16.0,17.45,0
2023-03-31,YESBANK,EQUITY,17.55,18.6,14.4,15.05,0
2023-04-30,YESBANK,EQUITY,15.45,17.3,15.15,15.7,0
2023-05-31,YESBANK,EQUITY,16.2,16.5,15.5,16.2,0
2023-06-30,YESBANK,EQUITY,16.25,16.95,15.9,16.25,0
2023-07-31,YESBANK,EQUITY,17.25,18.45,16.65,16.95,0
2023-08-31,YESBANK,EQUITY,17.05,17.4,16.7,16.8,0
2023-09-30,YESBANK,EQUITY,16.85,19.1,16.7,17.25,0
2023-10-31,YESBANK,EQUITY,17.25,17.85,15.7,15.95,0
2023-11-30,YESBANK,EQUITY,16.0,21.15,15.95,19.35,0
2023-12-31,YESBANK,EQUITY,19.45,23.05,19.2,21.45,0
2024-01-31,YESBANK,EQUITY,21.5,26.25,21.4,24.1,0
2024-02-29,YESBANK,EQUITY,24.1,30.45,22.6,24.45,0
2024-03-31,YESBANK,EQUITY,24.9,25.7,20.55,23.2,0
2024-04-30,YESBANK,EQUITY,23.3,28.55,23.25,26.15,0
2024-05-31,YESBANK,EQUITY,26.0,27.04,21.85,23.0,0
2024-06-30,YESBANK,EQUITY,24.4,24.65,21.6,23.69,0
2024-07-31,YESBANK,EQUITY,24.06,27.2,20.72,26.51,0
2024-08-31,YESBANK,EQUITY,26.95,27.44,23.55,23.61,0
2024-09-30,YESBANK,EQUITY,23.05,23.97,21.46,22.48,0
2024-10-31,YESBANK,EQUITY,25.9,26.0,19.22,20.4,0
2024-11-30,YESBANK,EQUITY,26.1,27.09,19.02,19.96,0
2024-12-31,YESBANK,EQUITY,23.99,24.02,19.35,19.59,0
2025-01-31,YESBANK,EQUITY,19.6,21.82,17.06,19.23,0
2025-02-28,YESBANK,EQUITY,17.2,23.39,16.66,16.75,0
2025-03-31,YESBANK,EQUITY,16.75,23.15,16.09,16.88,0
2025-04-30,YESBANK,EQUITY,18.98,23.47,16.16,17.72,0
2025-05-31,YESBANK,EQUITY,19.07,22.79,17.51,21.48,0
2025-06-30,YESBANK,EQUITY,19.53,23.1,16.93,20.34,0
2025-07-31,YESBANK,EQUITY,19.01,22.94,16.16,18.92,0
2025-08-31,YESBANK,EQUITY,19.02,22.69,16.9,19.1,0
2025-09-30,YESBANK,EQUITY,18.74,22.47,16.9,21.25,0
2025-10-31,YESBANK,EQUITY,18.48,24.3,16.48,22.74,0
2025-11-30,YESBANK,EQUITY,16.39,23.33,16.11,22.93,0
